ID,Name,Price,Link,ModelNumber,Images,name
252,Samsung IT SM-T350NZAAXAR Galaxy Tab A 8.0 16GB Titanium,$333.73,http://www.bestbuy.ca/en-ca/product/samsung-it-sm-t350nzaaxar-galaxy-tab-a-8-0-16gb-titanium/11343154.aspx?,DAHD9012,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11343/11343154.jpg,bestbuy
253,Acer Iconia B1-780-K6C3 7 Inch Tablet (NT.LCJAA.002),$129.99,http://www.bestbuy.ca/en-ca/product/acer-iconia-b1-780-k6c3-7-inch-tablet-nt-lcjaa-002/10734018.aspx?,B1-780-K6C3,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10734/10734018.jpg,bestbuy
254,"Apple iPad Pro 9.7"" 32GB with Wi-Fi - Rose Gold",$649.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-32gb-with-wi-fi-rose-gold-mm172cl-a/10415422.aspx?,MM172CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10415/10415422.jpg,bestbuy
255,"RCA 10.1"" TABLET 16GB QUAD CORE WITH KEYBOARD/CASE (RCT6203W46BLACK) - REFURBISHED",$169.99,http://www.bestbuy.ca/en-ca/product/rca-10-1-tablet-16gb-quad-core-with-keyboard-case-rct6203w46black-refurbished/10758618.aspx?,RCT6203W46-BLACK,https://images.bbycastatic.ca/sf/images/common/pictures/noimage500x500.jpg,bestbuy
256,"Microsoft Surface Book 13.5"" Touchscreen (PixelSense) 2 in 1 Notebook - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core)","$2,122.95",http://www.bestbuy.ca/en-ca/product/microsoft-microsoft-surface-book-13-5-touchscreen-pixelsense-2-in-1-notebook-intel-core-i5-6th-gen-i5-6300u-dual-core-2-core-sv7-00009/10537540.aspx?,SV7-00009,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10537/10537540.jpeg,bestbuy
257,"Polaroid 10"" 16GB Android 6.0 Tablet & Keyboard With Intel Atom X3 Processor - Purple",$179.98,http://www.bestbuy.ca/en-ca/product/polaroid-10-16gb-android-6-0-tablet-keyboard-with-intel-atom-x3-processor-purple/10751960.aspx?,Q1010PU,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10751/10751960.jpg,bestbuy
258,"Apple iPad Pro 12.9"" 256GB with Wi-Fi - Space Grey",$999.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-12-9-256gb-with-wi-fi-space-grey-ml0t2cl-a/10415443.aspx?,ML0T2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10415/10415443.jpg,bestbuy
259,Apple iPad mini 4 128GB With Wi-Fi & 3G/4G/4G LTE - Silver,$719.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-mini-4-128gb-with-wi-fi-3g-4g-4g-lte-silver-mk772cl-a/10389507.aspx?,MK772CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10389/10389507.jpg,bestbuy
260,1012 CM/1.1 8GB 256GB SSD W10P 64 SBY,"$1,998.99",http://www.bestbuy.ca/en-ca/product/hp-1012-cm-1-1-8gb-256gb-ssd-w10p-64-sby-t8z06utaba/10505067.aspx?,T8Z06UTABA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10505/10505067.jpeg,bestbuy
261,"Polaroid 9"" 16GB Android 6.0 Tablet & Folio Keyboard With ARMv7 Processor - Blue",$139.98,http://www.bestbuy.ca/en-ca/product/polaroid-9-16gb-android-6-0-tablet-folio-keyboard-with-armv7-processor-blue/10751964.aspx?,P916BL,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10751/10751964.jpg,bestbuy
262,"Lenovo Tab3 Essential 7"" 8GB Android 5.1 Tablet with QualComm Quad-Core Processor - Black - Open Box",$89.95,http://www.bestbuy.ca/en-ca/product/lenovo-lenovo-tab3-essential-7-8gb-android-5-1-tablet-with-qualcomm-quad-core-processor-black-open-box-za0r0029us/10525370.aspx?,ZA0R0029US,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10525/10525370.jpg,bestbuy
263,"Apple iPad Pro 10.5"" 256GB with Wi-Fi & 4G LTE - Gold","$1,219.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-256gb-with-wi-fi-4g-lte-gold/10750305.aspx?,MPHJ2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750305_fr.jpg,bestbuy
264,"Apple iPad Pro 9.7"" 256GB with Wi-Fi - Rose Gold - Open Box","$1,039.99",http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-256gb-with-wi-fi-rose-gold-open-box-mm1a2cl-a/10546337.aspx?,MM1A2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10546/10546337.jpg,bestbuy
265,"Microsoft Surface Pro Tablet - 12.3"" - 4GB - Intel Core M (7th Gen) - 128GB SSD - Windows 10 Pro - 2736 x 1824 - PixelSense","$1,101.49",http://www.bestbuy.ca/en-ca/product/microsoft-surface-pro-tablet-12-3-4gb-intel-core-m-7th-gen-128gb-ssd-windows-10-pro-2736-x-1824-pixelsense/10934450.aspx?,FJS-00001,https://multimedia.bbycastatic.ca/multimedia/products/500x500/109/10934/10934450.jpg,bestbuy
266,"Apple iPad Air 1st Gen, 9.7"" Display, 16 GB Storage, Wi-Fi Only, 5MP Camera, White with Silver - Refurbished",$295.00,http://www.bestbuy.ca/en-ca/product/dell-dell-latitude-e6430-14-display-intel-core-i5-4gb-ram-160gb-hdd-dvd-rom-windows-10-refurbished-dell-e6430/10550356.aspx?,a1474,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10550/10550356.jpg,bestbuy
267,"iPad 2 WIFI only Second Generation 32gb Black, Refurbished",$199.99,http://www.bestbuy.ca/en-ca/product/ipad-2-wifi-only-second-generation-32gb-black-refurbished/11357100.aspx?,MC770LL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11357/11357100.jpg,bestbuy
268,Acer America NT.L6LAA.003 64 GB Tablet Windows Pro 10 - 10.1 in.,$670.39,http://www.bestbuy.ca/en-ca/product/acer-america-nt-l6laa-003-64-gb-tablet-windows-pro-10-10-1-in/11384940.aspx?,DAHD10022,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11384/11384940.jpg,bestbuy
269,Apple iPad Air 2 32GB with Wi-Fi - Space Grey - Open Box,$469.97,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-air-2-32gb-with-wi-fi-space-grey-open-box-mnv22cl-a/10585000.aspx?,MNV22CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10585/10585000.jpg,bestbuy
270,"Lenovo Tab3 10 Business ZA0X0018US 32GB Tablet - 10.1"" - In-plane Switching (IPS) Technology - Wireless LAN - MediaTek Cortex",$349.99,http://www.bestbuy.ca/en-ca/product/lenovo-lenovo-tab3-10-business-za0x0018us-32gb-tablet-10-1-in-plane-switching-ips-technology-wireless-lan-mediatek-cortex-za0x0018us/10554260.aspx?,ZA0X0018US,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10554/10554260.jpeg,bestbuy
271,"HP ElitePad 1000 G2 Net-tablet PC - 10.1"" - Intel Atom Z3795 1.60 GHz","$1,413.49",http://www.bestbuy.ca/en-ca/product/hp-hp-elitepad-1000-g2-net-tablet-pc-10-1-intel-atom-z3795-1-60-ghz-g6x12awabl/10451277.aspx?,G6X12AWABL,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10451/10451277.jpeg,bestbuy
272,Samsung IT SM-T713NZKEXAR S2 8.0 in. 32 GB Tablet Black,$616.20,http://www.bestbuy.ca/en-ca/product/samsung-it-sm-t713nzkexar-s2-8-0-in-32-gb-tablet-black/11354906.aspx?,DAHD18281,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11354/11354906.jpg,bestbuy
273,"Apple iPad Pro 9.7"" 128GB with Wi-Fi/LTE - Silver",$849.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-128gb-with-wi-fi-lte-silver-mlq42cl-a/10415436.aspx?,MLQ42CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10415/10415436.jpg,bestbuy
274,"Apple iPad Pro 12.9"" 512GB with Wi-Fi - Gold","$1,479.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-12-9-512gb-with-wi-fi-gold/10750292.aspx?,MPL12CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750292.jpg,bestbuy
275,"Acer Iconia One 7 Tablet 16GB Wifi White, Refurbished",$99.99,http://www.bestbuy.ca/en-ca/product/acer-iconia-one-7-tablet-16gb-wifi-white-refurbished/11615952.aspx?,B1-770,https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11615/11615952.jpg,bestbuy
