ID,Name,Price,Link,ModelNumber,Images,name
12,"ASUS X555QA 15.6"" Laptop - Black/Silver (AMD Quad Core A10-9600P/1TB HDD/12GB RAM/Windows 10)",$699.99,http://www.bestbuy.ca/en-ca/product/asus-x555qa-15-6-laptop-black-silver-amd-quad-core-a10-9600p-1tb-hdd-12gb-ram-windows-10/10748019.aspx?,X555QA-BB10-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10748/10748019.jpg,bestbuy
13,"Acer Aspire E 15"" Laptop - Black/Iron (Intel Pentium Quad Core N3700/1TB HDD/8GB RAM/Win10)-Open Box",$499.99,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-e-15-laptop-black-iron-intel-pentium-quad-core-n3700-1tb-hdd-8gb-ram-win10-open-box-e5-532-p4yc/10549836.aspx?,E5-532-P4YC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10549/10549836.jpg,bestbuy
14,"HP Pavilion x360 14"" Touchscreen Convertible Laptop - Silver (Intel Core i5-7200U/256GB SSD/8GB RAM)",$999.99,http://www.bestbuy.ca/en-ca/product/hp-pavilion-x360-14-touchscreen-convertible-laptop-silver-intel-core-i5-7200u-256gb-ssd-8gb-ram/10735606.aspx?,14-BA018CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10735/10735606.jpg,bestbuy
15,"ASUS X555 15.6"" Laptop - Black (AMD Quad Core A10-8700P/ 500GB HDD / 4GB RAM / Windows 10) - English",$549.99,http://www.bestbuy.ca/en-ca/product/asus-x555-15-6-laptop-black-amd-quad-core-a10-8700p-500gb-hdd-4gb-ram-windows-10-english/10748275.aspx?,X555DA-WB11,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10748/10748275.jpg,bestbuy
16,"Dell Inspiron 15.6"" Laptop - Black (Intel Core i3-7100U/1TB HDD/6GB RAM/Windows 10) - Open Box",$399.99,http://www.bestbuy.ca/en-ca/product/dell-inspiron-15-6-laptop-black-intel-core-i3-7100u-1tb-hdd-6gb-ram-windows-10-open-box/11280933.aspx?,i5566-3628BLK-PCA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/112/11280/11280933.jpg,bestbuy
17,"ASUS ZenBook UX430 14"" Laptop - Grey (Intel Core i5-7200U/256GB SSD/8GB RAM/Windows 10) - Open Box",$849.99,http://www.bestbuy.ca/en-ca/product/asus-zenbook-ux430-14-laptop-grey-intel-core-i5-7200u-256gb-ssd-8gb-ram-windows-10-open-box/10656350.aspx?,UX430UA-BS51-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10656/10656350.jpg,bestbuy
18,"ASUS C201 11.6"" Chromebook - Navy Blue (Rockchip RK3288/16GB EMMC/2GB RAM/Chrome OS)",$229.99,http://www.bestbuy.ca/en-ca/product/asus-asus-c201-11-6-chromebook-navy-blue-rockchip-rk3288-16gb-emmc-2gb-ram-chrome-os-c201pa-bs01/10560837.aspx?,C201PA-BS01,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10560/10560837.jpg,bestbuy
19,"Acer Aspire R 15"" Touchscreen Laptop - Iron/Silver (Intel Core i5-6200U/1TB HDD/12GB RAM/Windows 10)",$999.99,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-r-15-touchscreen-laptop-iron-silver-intel-core-i5-6200u-1tb-hdd-12gb-ram-windows-10-r5-571t-5773/10448961.aspx?,R5-571T-5773,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10448/10448961.jpg,bestbuy
20,"HP ULTRABOOK 9470M, Intel i5-1.8 GHz, 16GB Memory, 256GB SSD Drive, 14"" , Win 10 pro,1yw-Refurbished",$439.00,http://www.bestbuy.ca/en-ca/product/hp-ultrabook-9470m-intel-i5-1-8-ghz-16gb-memory-256gb-ssd-drive-14-win-10-pro-1yw-refurbished/11198399.aspx?,HP ULTRABOOKS 9470M,https://multimedia.bbycastatic.ca/multimedia/products/500x500/111/11198/11198399.jpg,bestbuy
21,"ASUS VivoBook X540YA 15.6"" Laptop - Chocolate Black/Gold (AMD A8-7410/500GB HDD/4GB RAM/Win10)",$499.99,http://www.bestbuy.ca/en-ca/product/asus-vivobook-x540ya-15-6-laptop-chocolate-black-gold-amd-a8-7410-500gb-hdd-4gb-ram-win10/11026494.aspx?,X540YA-BB81-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/110/11026/11026494.jpg,bestbuy
