IDValues,Name,Price,link,ModelNumber,Image
15,"Lenovo Yoga Book ZA150051CA 10.1"" Tablet, 1.44 GHz Intel Atom x5-Z8550, 64 GB SSD, 4 GB LPDDR3, Windows 10, English",$749.99,https://www.staples.ca/en/Lenovo-Yoga-Book-ZA150051CA-10-1-Tablet-1-44-GHz-Intel-Atom-x5-Z8550-64-GB-SSD-4-GB-LPDDR3-Windows-10-English/product_2719472_2-CA_1_20001,ZA150000US,https://www.staples-3p.com/s7/is/image/Staples/m005528756_sc7?$std$
16,"Apple iPad Pro 10.5"" Retina Tablet, A10X Fusion Chip, 64 GB, Wi-Fi",$869.00,https://www.staples.ca/en/Apple-iPad-Pro-10-5-Retina-Tablet-A10X-Fusion-Chip-64-GB-Wi-Fi/product_SS6617739_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m006271178_sc7?$std$
17,"Microsoft Surface Pro FJX-00001 12.3"" PixelSense Tablet, Intel Core i5, 256 GB SSD, 8 GB RAM, Windows 10 Pro","$1,649.00",https://www.staples.ca/en/Microsoft-Surface-Pro-FJX-00001-12-3-PixelSense-Tablet-Intel-Core-i5-256-GB-SSD-8-GB-RAM-Windows-10-Pro/product_2721863_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m006184680_sc7?$std$
18,"Samsung Galaxy Tab S3 9.7"" Tablet, 2.15 GHz + 1.6 GHz Qualcomm APQ 8096, 32 GB Flash, 4 GB RAM, Android N",$799.96,https://www.staples.ca/en/Samsung-Galaxy-Tab-S3-9-7-Tablet-2-15-GHz-1-6-GHz-Qualcomm-APQ-8096-32-GB-Flash-4-GB-RAM-Android-N/product_SS6123747_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m005754102_sc7?$std$
19,"Samsung Galaxy Tab Pro S 12"" 2-in-1 Tablet with Keyboard (2224CE)",$549.97,https://www.staples.ca/en/Samsung-Galaxy-Tab-Pro-S-12-2-in-1-Tablet-with-Keyboard-2224CE-/product_2256767_2-CA_1_20001,SM-W703NZKAXAC,https://www.staples-3p.com/s7/is/image/Staples/m004053149_sc7?$std$
20,"Microsoft Surface Pro FJR-00001 12.3"" PixelSense Tablet, Intel Core m3, 128 GB SSD, 4 GB RAM, Windows 10 Pro","$1,049.00",https://www.staples.ca/en/Microsoft-Surface-Pro-FJR-00001-12-3-PixelSense-Tablet-Intel-Core-m3-128-GB-SSD-4-GB-RAM-Windows-10-Pro/product_2721859_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m006184680_sc7?$std$
21,"Microsoft Surface Pro FJT-00001 12.3"" PixelSense Tablet, Intel Core i5, 128 GB SSD, 4 GB RAM, Windows 10 Pro","$1,299.00",https://www.staples.ca/en/Microsoft-Surface-Pro-FJT-00001-12-3-PixelSense-Tablet-Intel-Core-i5-128-GB-SSD-4-GB-RAM-Windows-10-Pro/product_2721862_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m006184680_sc7?$std$
22,"Samsung Galaxy S2 Tablet, 9.7"", 32 GB, Black (SM-T813NZKEXAC)",$549.72,https://www.staples.ca/en/Samsung-Galaxy-S2-Tablet-9-7-32-GB-Black-SM-T813NZKEXAC-/product_2308811_2-CA_1_20001,SM-T813NZKEXAC,https://www.staples-3p.com/s7/is/image/Staples/m004607541_sc7?$std$
23,"Apple iPad Pro 12.9"" Retina Tablet, A10X Fusion Chip, 256 GB, Wi-Fi","$1,229.00",https://www.staples.ca/en/Apple-iPad-Pro-12-9-Retina-Tablet-A10X-Fusion-Chip-256-GB-Wi-Fi/product_SS6617746_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m006271186_sc7?$std$
24,"Samsung Galaxy S2 Tablet, 8.0"", 32GB, Black (SM-T713NZDEXAC)",$449.92,https://www.staples.ca/en/Samsung-Galaxy-S2-Tablet-8-0-32GB-Black-SM-T713NZDEXAC-/product_2321188_2-CA_1_20001,SM-T713NZKEXAC,https://www.staples-3p.com/s7/is/image/Staples/m004607543_sc7?$std$
