IDValues,Name,Price,link,ModelNumber,Image
21,Epson WorkForce® (WF-3620) All-in-One Printer,$59.97,https://www.staples.ca/en/Epson-WorkForce-WF-3620-All-in-One-Printer/product_236208_2-CA_1_20001,C11CD19201,https://www.staples-3p.com/s7/is/image/Staples/s0839898_sc7?$std$
22,HP LaserJet Pro MFP M227fdw All-in-One Printer (G3Q75A#BGJ),$379.52,https://www.staples.ca/en/HP-LaserJet-Pro-MFP-M227fdw-All-in-One-Printer-G3Q75A-BGJ-/product_2444435_2-CA_1_20001,G3Q75A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m005088579_sc7?$std$
23,Brother MFC-J680DW All-in-One Wireless Colour Inkjet Printer  (MFCJ680DW),$159.99,https://www.staples.ca/en/Brother-MFC-J680DW-All-in-One-Wireless-Colour-Inkjet-Printer-MFCJ680DW-/product_1899129_2-CA_1_20001,MFCJ680DW,https://www.staples-3p.com/s7/is/image/Staples/m003212480_sc7?$std$
24,HP LaserJet Pro M130fn All-in-One Printer (G3Q59A#BGJ),$229.84,https://www.staples.ca/en/HP-LaserJet-Pro-M130fn-All-in-One-Printer-G3Q59A-BGJ-/product_2423252_2-CA_1_20001,G3Q59A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m005035376_sc7?$std$
25,Brother MFC-L2720DW All-in-One Wireless Laser Printer (MFCL2720DW),$189.99,https://www.staples.ca/en/Brother-MFC-L2720DW-All-in-One-Wireless-Laser-Printer-MFCL2720DW-/product_1171088_2-CA_1_20001,MFC-L2720DW,https://www.staples-3p.com/s7/is/image/Staples/s0889502_sc7?$std$
26,Canon PIXMA (MX922) Wireless All-in-One Colour Inkjet Printer,$199.94,https://www.staples.ca/en/Canon-PIXMA-MX922-Wireless-All-in-One-Colour-Inkjet-Printer/product_146818_2-CA_1_20001,6992B003,https://www.staples-3p.com/s7/is/image/Staples/s0621616_sc7?$std$
27,Canon imageCLASS MF217W Black & White Laser Multifunction Printer,$149.99,https://www.staples.ca/en/Canon-imageCLASS-MF217W-Black-White-Laser-Multifunction-Printer/product_1807523_2-CA_1_20001,9540B137,https://www.staples-3p.com/s7/is/image/Staples/m003149365_sc7?$std$
28,HP LaserJet Pro M130fw All-in-One Printer (G3Q60A#BGJ),$169.45,https://www.staples.ca/en/HP-LaserJet-Pro-M130fw-All-in-One-Printer-G3Q60A-BGJ-/product_2423253_2-CA_1_20001,G3Q60A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m005084756_sc7?$std$
29,Brother MFC-9130CW Digital Wireless Colour Laser Multifunction Printer (MFC9130CW),$499.99,https://www.staples.ca/en/Brother-MFC-9130CW-Digital-Wireless-Colour-Laser-Multifunction-Printer-MFC9130CW-/product_154689_2-CA_1_20001,MFC9130CW,https://www.staples-3p.com/s7/is/image/Staples/m004077226_sc7?$std$
30,HP Envy 7640e All in One Printer,$99.91,https://www.staples.ca/en/HP-Envy-7640e-All-in-One-Printer/product_1214968_2-CA_1_20001,E4W43A#B1H,https://www.staples-3p.com/s7/is/image/Staples/s0905950_sc7?$std$
31,Brother HLL2380DW Monochrome Wireless Duplex Laser Printer,$149.97,https://www.staples.ca/en/Brother-HLL2380DW-Monochrome-Wireless-Duplex-Laser-Printer/product_1174234_2-CA_1_20001,HLL2380DW,https://www.staples-3p.com/s7/is/image/Staples/s0872246_sc7?$std$
32,Epson Expression ET-2550 EcoTank Wireless All-in-One Inkjet Printer with Scanner and Copier,$299.83,https://www.staples.ca/en/Epson-Expression-ET-2550-EcoTank-Wireless-All-in-One-Inkjet-Printer-with-Scanner-and-Copier/product_1694231_2-CA_1_20001,C11CE91201,https://www.staples-3p.com/s7/is/image/Staples/m002704058_sc7?$std$
33,Canon PIXMA (MX492) Office All-in-One Inkjet Printer,$99.93,https://www.staples.ca/en/Canon-PIXMA-MX492-Office-All-in-One-Inkjet-Printer/product_1557437_2-CA_1_20001,0013C003,https://www.staples-3p.com/s7/is/image/Staples/s0936086_sc7?$std$
34,Brother MFC-L2740DW All-in-One Wireless Laser Printer (MFCL2740DW),$379.96,https://www.staples.ca/en/Brother-MFC-L2740DW-All-in-One-Wireless-Laser-Printer-MFCL2740DW-/product_1171089_2-CA_1_20001,MFC-L2740DW,https://www.staples-3p.com/s7/is/image/Staples/s0872696_sc7?$std$
35,HP Colour LaserJet MFP M477fdw All-in-One Laser Printer,$499.99,https://www.staples.ca/en/HP-Colour-LaserJet-MFP-M477fdw-All-in-One-Laser-Printer/product_1878690_2-CA_1_20001,CF379A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m003149316_sc7?$std$
36,"Epson WorkForce ET-4550 EcoTank Wireless All-in-One Inkjet Printer with Scanner, Copier and Fax",$599.83,https://www.staples.ca/en/Epson-WorkForce-ET-4550-EcoTank-Wireless-All-in-One-Inkjet-Printer-with-Scanner-Copier-and-Fax/product_1694234_2-CA_1_20001,C11CE71201,https://www.staples-3p.com/s7/is/image/Staples/m002704060_sc7?$std$
37,Brother HL-L2360DW Monochrome Laser Printer (HLL2360DW),$159.95,https://www.staples.ca/en/Brother-HL-L2360DW-Monochrome-Laser-Printer-HLL2360DW-/product_1065232_2-CA_1_20001,HL-L2360DW,https://www.staples-3p.com/s7/is/image/Staples/m004075310_sc7?$std$
38,Canon imageCLASS MF249dw Black and White Laser All-in-One Printer (1418C006),$329.93,https://www.staples.ca/en/Canon-imageCLASS-MF249dw-Black-and-White-Laser-All-in-One-Printer-1418C006-/product_2420556_2-CA_1_20001,1418C006,https://www.staples-3p.com/s7/is/image/Staples/m005012767_sc7?$std$
39,Canon imageCLASS Wireless Laser Printer (LBP151dw),$129.99,https://www.staples.ca/en/Canon-imageCLASS-Wireless-Laser-Printer-LBP151dw-/product_2093553_2-CA_1_20001,0568C004,https://www.staples-3p.com/s7/is/image/Staples/s1010913_sc7?$std$
40,Lexmark MS317dn Mono Single Function Laser Printer (35SC060),$199.96,https://www.staples.ca/en/Lexmark-MS317dn-Mono-Single-Function-Laser-Printer-35SC060-/product_2716180_2-CA_1_20001,35SC060,https://www.staples-3p.com/s7/is/image/Staples/m006013560_sc7?$std$
41,HP LaserJet Pro M203dw Printer (G3Q47A#BGJ),$159.99,https://www.staples.ca/en/HP-LaserJet-Pro-M203dw-Printer-G3Q47A-BGJ-/product_2444436_2-CA_1_20001,G3Q47A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m005047603_sc7?$std$
42,Brother MFC-9340CDW Wireless Colour Laser Multifunction Printer (MFC9340CDW),$549.99,https://www.staples.ca/en/Brother-MFC-9340CDW-Wireless-Colour-Laser-Multifunction-Printer-MFC9340CDW-/product_187953_2-CA_1_20001,MFC9340CDW,https://www.staples-3p.com/s7/is/image/Staples/m004075314_sc7?$std$
43,HP LaserJet Pro M102w Printer (G3Q35A#BGJ),$129.95,https://www.staples.ca/en/HP-LaserJet-Pro-M102w-Printer-G3Q35A-BGJ-/product_2423251_2-CA_1_20001,G3Q35A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m004908184_sc7?$std$
