IDValues,Name,Price,link,ModelNumber,Image
129,HP® LaserJet Pro MFP M521dn All-in-One Monochrome Laser Printer (A8P79A#BGJ),"$1,039.96",https://www.staples.ca/en/HP-LaserJet-Pro-MFP-M521dn-All-in-One-Monochrome-Laser-Printer-A8P79A-BGJ-/product_203214_2-CA_1_20001,A8P79A#BGJ,
130,Lexmark MX517de Mono Multifunction Printer (35SC703),$469.96,https://www.staples.ca/en/Lexmark-MX517de-Mono-Multifunction-Printer-35SC703-/product_2716176_2-CA_1_20001,35SC703,
131,Epson® SureColour P400 Inkjet Colour Printer (C11CE85201),$719.99,https://www.staples.ca/en/Epson-SureColour-P400-Inkjet-Colour-Printer-C11CE85201-/product_1935474_2-CA_1_20001,C11CE85201,
132,MakerBot Replicator Z18 3D Printer,"$8,599.99",https://www.staples.ca/en/MakerBot-Replicator-Z18-3D-Printer/product_1182822_2-CA_1_20001,MP05950,
133,Lexmark MX617de Mono Multifunction Printer (35SC705),$724.96,https://www.staples.ca/en/Lexmark-MX617de-Mono-Multifunction-Printer-35SC705-/product_2716181_2-CA_1_20001,35SC705,
134,Brother HL-L8350CDW Wireless Colour Laser Printer with Duplex,$499.99,https://www.staples.ca/en/Brother-HL-L8350CDW-Wireless-Colour-Laser-Printer-with-Duplex/product_161114_2-CA_1_20001,HL-L8350CDW,
135,HP® LaserJet Enterprise M553n Colour Laser Printer (B5L24ABGJ),$799.96,https://www.staples.ca/en/HP-LaserJet-Enterprise-M553n-Colour-Laser-Printer-B5L24ABGJ-/product_1689227_2-CA_1_20001,B5L24ABGJ,
136,Xerox Work Center 6515/N Color Multifunction Printer,$429.96,https://www.staples.ca/en/Xerox-Work-Center-6515-N-Color-Multifunction-Printer/product_2580335_2-CA_1_20001,6515/N,
137,HP® Colour LaserJet Pro M452dn Laser Printer (CF389A#BGJ),$499.96,https://www.staples.ca/en/HP-Colour-LaserJet-Pro-M452dn-Laser-Printer-CF389A-BGJ-/product_1889397_2-CA_1_20001,CF389A#BGJ,
138,Canon imageCLASS MF810Cdn Colour Multifunction Laser Printer (9548B001),"$1,299.99",https://www.staples.ca/en/Canon-imageCLASS-MF810Cdn-Colour-Multifunction-Laser-Printer-9548B001-/product_1519497_2-CA_1_20001,9548B001,
139,Canon MAXIFY MB5420 All-in-One Inkjet Printer,$429.96,https://www.staples.ca/en/Canon-MAXIFY-MB5420-All-in-One-Inkjet-Printer/product_2497889_2-CA_1_20001,0971C003,
140,Epson® FX-890 Dot Matrix Printer,$532.56,https://www.staples.ca/en/Epson-FX-890-Dot-Matrix-Printer/product_515729_2-CA_1_20001,C11C524001,
141,Lexmark MS617dn Mono Single Function Laser Printer (35SC400),$369.96,https://www.staples.ca/en/Lexmark-MS617dn-Mono-Single-Function-Laser-Printer-35SC400-/product_2716179_2-CA_1_20001,35SC400,
142,Canon imageCLASS MF212W Monochrome Laser Multifunction Printer (9540B056),$199.99,https://www.staples.ca/en/Canon-imageCLASS-MF212W-Monochrome-Laser-Multifunction-Printer-9540B056-/product_1385570_2-CA_1_20001,9540B056,
143,Lexmark MS810n Monochrome Laser Single Function Printer (40G0100),$839.96,https://www.staples.ca/en/Lexmark-MS810n-Monochrome-Laser-Single-Function-Printer-40G0100-/product_49565_2-CA_1_20001,40G0100,
144,HP® PageWide Pro 477dn Multifunction Inkjet Printer (D3Q19A),$689.99,https://www.staples.ca/en/HP-PageWide-Pro-477dn-Multifunction-Inkjet-Printer-D3Q19A-/product_2072925_2-CA_1_20001,D3Q19A#B1H,
145,Xerox Phaser 6510/N Color Laser Printer,$349.96,https://www.staples.ca/en/Xerox-Phaser-6510-N-Color-Laser-Printer/product_2580332_2-CA_1_20001,6510/N,
146,Samsung ProXpress SL-M3320ND Monochrome Laser Printer,$279.96,https://www.staples.ca/en/Samsung-ProXpress-SL-M3320ND-Monochrome-Laser-Printer/product_1277837_2-CA_1_20001,SL-M3320ND,
147,HP PageWide Pro 452dw Wireless Laserjet Printer (D3Q16A),$499.99,https://www.staples.ca/en/HP-PageWide-Pro-452dw-Wireless-Laserjet-Printer-D3Q16A-/product_2072452_2-CA_1_20001,D3Q16A,
148,"Samsung Proxpress SL-M3370FD Laser Multifunction Printer, Monochrome",$419.96,https://www.staples.ca/en/Samsung-Proxpress-SL-M3370FD-Laser-Multifunction-Printer-Monochrome/product_1015007_2-CA_1_20001,SLM3370FDXAA,
149,Xerox® WorkCentre® 6515/DNI Color Multifunction Printer,$589.96,https://www.staples.ca/en/Xerox-WorkCentre-6515-DNI-Color-Multifunction-Printer/product_2580333_2-CA_1_20001,6515/DNI,
150,Lexmark CS517de Single Function Colour Laser Printer (28EC050),$599.96,https://www.staples.ca/en/Lexmark-CS517de-Single-Function-Colour-Laser-Printer-28EC050-/product_2716177_2-CA_1_20001,28EC050,
151,Lexmark MS315DN Monochrome Laser Single Function Printer (35S0160),$349.96,https://www.staples.ca/en/Lexmark-MS315DN-Monochrome-Laser-Single-Function-Printer-35S0160-/product_1171108_2-CA_1_20001,35S0160,
152,HP® Colour LaserJet Enterprise M553dn Colour Laser Printer (B5L25ABGJ),$999.96,https://www.staples.ca/en/HP-Colour-LaserJet-Enterprise-M553dn-Colour-Laser-Printer-B5L25ABGJ-/product_1689513_2-CA_1_20001,B5L25ABGJ,
153,Lexmark CX410e Colour Laser Multifunction Printer (28D0500),$799.96,https://www.staples.ca/en/Lexmark-CX410e-Colour-Laser-Multifunction-Printer-28D0500-/product_49570_2-CA_1_20001,28D0500,
154,Xerox® WorkCentre® 6515/DN Color Multifunction Printer,$539.96,https://www.staples.ca/en/Xerox-WorkCentre-6515-DN-Color-Multifunction-Printer/product_2580331_2-CA_1_20001,6515/DN,
155,Xerox Phaser 3260/DI Monochrome Laser Printer,$229.96,https://www.staples.ca/en/Xerox-Phaser-3260-DI-Monochrome-Laser-Printer/product_1499773_2-CA_1_20001,3260DI,
156,HP® Color LaserJet Professional CP5225dn Printer (CE712A),"$2,049.99",https://www.staples.ca/en/HP-Color-LaserJet-Professional-CP5225dn-Printer-CE712A-/product_354095_2-CA_1_20001,CE712A#BGJ,
