IDValues,Name,Price,link,ModelNumber,Image
15,"HP Refurbished Elite 8100 SFF Desktop Computer, 3.2 GHz Intel Core i5-650, 2 TB HDD, 12 GB DDR3, Windows 10 Pro",$329.99,https://www.staples.ca/en/HP-Refurbished-Elite-8100-SFF-Desktop-Computer-3-2-GHz-Intel-Core-i5-650-2-TB-HDD-12-GB-DDR3-Windows-10-Pro/product_2720505_2-CA_1_20001,8100,
16,"Dell Refurbished OptiPlex 7010 SFF Desktop Computer, 3.4 GHz Intel Core i7, 16 GB DDR3, 240 GB SSD, Windows 10 Pro",$619.00,https://www.staples.ca/en/Dell-Refurbished-OptiPlex-7010-SFF-Desktop-Computer-3-4-GHz-Intel-Core-i7-16-GB-DDR3-240-GB-SSD-Windows-10-Pro/product_2571775_2-CA_1_20001,DELL 7010,
17,"DELL Refurbished OptiPlex 740 Standard Desktop Computer, 2.1 GHz AMD Amd Dual Core 4000+, 250 GB HDD, 4 GB , Windows 7 Home",$99.99,https://www.staples.ca/en/DELL-Refurbished-OptiPlex-740-Standard-Desktop-Computer-2-1-GHz-AMD-Amd-Dual-Core-4000-250-GB-HDD-4-GB-Windows-7-Home/product_2791969_2-CA_1_20001,OPTIPLEX 740,
18,"Acer (ATC-220-ES61) Desktop, AMD A8-7600, 8GB RAM, 2TB HDD, Windows 10",$429.97,https://www.staples.ca/en/Acer-ATC-220-ES61-Desktop-AMD-A8-7600-8GB-RAM-2TB-HDD-Windows-10/product_2283372_2-CA_1_20001,DT.SXRAA.009,
19,"Dell Tower Model # GX790 Intel Core I5-2400 (3.1Ghz), 8Gb Ram, 1TB HDD, DVD-RW, Windows 10 Pro, Refurbished",$359.99,https://www.staples.ca/en/Dell-Tower-Model-GX790-Intel-Core-I5-2400-3-1Ghz-8Gb-Ram-1TB-HDD-DVD-RW-Windows-10-Pro-Refurbished/product_1699864_2-CA_1_20001,GX790,
20,"HP Refurbished 6200 Pro Tower Desktop Computer & 22"" LCD Monitor, 3.1 GHz Intel Core i3-2100, 1 TB HDD, 8 GB DDR3, Win10 Pro",$369.99,https://www.staples.ca/en/HP-Refurbished-6200-Pro-Tower-Desktop-Computer-22-LCD-Monitor-3-1-GHz-Intel-Core-i3-2100-1-TB-HDD-8-GB-DDR3-Win10-Pro/product_2675774_2-CA_1_20001,HP6200,
21,"LENOVO Refurbished M73Z All-in-One Desktop Computer, 2.9 GHz Intel Core i5 4570S, 500 GB HDD, 8 GB , Windows 10 Professional",$379.99,https://www.staples.ca/en/LENOVO-Refurbished-M73Z-All-in-One-Desktop-Computer-2-9-GHz-Intel-Core-i5-4570S-500-GB-HDD-8-GB-Windows-10-Professional/product_2791968_2-CA_1_20001,THNKCENTRE M73Z,
22,"HP Refurbished Elite 8100 Tower Desktop Computer & 22"" LCD Monitor, 3.2 GHz Intel Core i5-650, 1 TB HDD, 6 GB DDR3, Win10 Home",$349.00,https://www.staples.ca/en/HP-Refurbished-Elite-8100-Tower-Desktop-Computer-22-LCD-Monitor-3-2-GHz-Intel-Core-i5-650-1-TB-HDD-6-GB-DDR3-Win10-Home/product_2675776_2-CA_1_20001,HP 8100,
23,"Dell Refurbished OptiPlex 390 Desktop Computer & 22"" LCD Monitor, 3.1 GHz Intel Core i3-2100, 500 GB HDD, 4 GB DDR3, Win10 Home",$299.00,https://www.staples.ca/en/Dell-Refurbished-OptiPlex-390-Desktop-Computer-22-LCD-Monitor-3-1-GHz-Intel-Core-i3-2100-500-GB-HDD-4-GB-DDR3-Win10-Home/product_2675775_2-CA_1_20001,DELL 390,
24,"ZOTAC ZBOX BI325NW2B SFF Desktop Computer, 1.6 GHz Intel Celeron N3160, 32 GB SSD, 4 GB DDR3L, Windows 10 Home",$279.99,https://www.staples.ca/en/ZOTAC-ZBOX-BI325NW2B-SFF-Desktop-Computer-1-6-GHz-Intel-Celeron-N3160-32-GB-SSD-4-GB-DDR3L-Windows-10-Home/product_2708127_2-CA_1_20001,BI325NW2B,
