IDValues,Name,Price,link,ModelNumber,Image
14,"Lenovo IdeaPad 100 80UD001SUS 15.6"" Notebook, 2.3 GHz Intel Core i3-6100U, 1 TB HDD, 6 GB DDR4, Windows 10 Home",$499.99,https://www.staples.ca/en/Lenovo-IdeaPad-100-80UD001SUS-15-6-Notebook-2-3-GHz-Intel-Core-i3-6100U-1-TB-HDD-6-GB-DDR4-Windows-10-Home/product_2724313_2-CA_1_20001,80UD001SUS,
15,"Lenovo IdeaPad 320 80XM0098CF 17.3"" Notebook, 2.4 GHz Intel Core i3-7100U, 1 TB HDD, 6 GB DDR4, Windows 10 Home",$649.99,https://www.staples.ca/en/Lenovo-IdeaPad-320-80XM0098CF-17-3-Notebook-2-4-GHz-Intel-Core-i3-7100U-1-TB-HDD-6-GB-DDR4-Windows-10-Home/product_2735505_2-CA_1_20001,LEN-80XM0098CF,
16,"HP 15-BS027CA 15.6"" Notebook, 2.5 GHz Intel Core i5-7200U, 1 TB HDD, 8 GB DDR4, Windows 10 Home, Smokey Grey",$699.99,https://www.staples.ca/en/HP-15-BS027CA-15-6-Notebook-2-5-GHz-Intel-Core-i5-7200U-1-TB-HDD-8-GB-DDR4-Windows-10-Home-Smokey-Grey/product_2721995_2-CA_1_20001,15-BS027CA,
17,"Acer Aspire SW1-011-18US 10.1"" Touch Screen Notebook, 1.44 GHz Intel Atom X5-Z8300, 32 GB Flash, 4 GB DDR3, Windows 10 Home",$299.92,https://www.staples.ca/en/Acer-Aspire-SW1-011-18US-10-1-Touch-Screen-Notebook-1-44-GHz-Intel-Atom-X5-Z8300-32-GB-Flash-4-GB-DDR3-Windows-10-Home/product_2411442_2-CA_1_20001,SW1-011,
18,"Acer Aspire ES NX.GFTAA.002 15.6"" Notebook, 1.1 GHz Intel Pentium N4200, 1 TB HDD, 8 GB DDR3L, Windows 10",$429.99,https://www.staples.ca/en/Acer-Aspire-ES-NX-GFTAA-002-15-6-Notebook-1-1-GHz-Intel-Pentium-N4200-1-TB-HDD-8-GB-DDR3L-Windows-10/product_2629657_2-CA_1_20001,ES1-533-P205,
19,"Dell Refurbished Latitude E6430 14"" Notebook, 2.7 GHz Intel Core i5-3320M, 320 GB HDD, 4 GB DDR3, Windows 10 Pro",$354.00,https://www.staples.ca/en/Dell-Refurbished-Latitude-E6430-14-Notebook-2-7-GHz-Intel-Core-i5-3320M-320-GB-HDD-4-GB-DDR3-Windows-10-Pro/product_2605607_2-CA_1_20001,DEL-E6430,
20,"Lenovo N22 80S60005US 11.6"" Notebook, 1.6 GHz Intel Celeron N3050, 64 GB eMMC, 4 GB DDR3L, Windows 10 Pro",$289.99,https://www.staples.ca/en/Lenovo-N22-80S60005US-11-6-Notebook-1-6-GHz-Intel-Celeron-N3050-64-GB-eMMC-4-GB-DDR3L-Windows-10-Pro/product_2473252_2-CA_1_20001,80S60005US,
21,"Dell Refurbished Latitude E5430 14"" Laptop, 2.6 GHz Intel Core i5-3230M, 320 GB HDD, 4 GB DDR3, Windows 10 Home",$279.99,https://www.staples.ca/en/Dell-Refurbished-Latitude-E5430-14-Laptop-2-6-GHz-Intel-Core-i5-3230M-320-GB-HDD-4-GB-DDR3-Windows-10-Home/product_2768229_2-CA_1_20001,LATITUDE E5430,
22,"HP 15-bw060ca 2DW38UA#ABL 15.6"" Touch Screen Notebook, 2.5 GHz AMD A6-9220, 1 TB HDD, 8 GB DDR4, Win10",$549.99,https://www.staples.ca/en/HP-15-bw060ca-2DW38UA-ABL-15-6-Touch-Screen-Notebook-2-5-GHz-AMD-A6-9220-1-TB-HDD-8-GB-DDR4-Win10/product_2741286_2-CA_1_20001,2DW38UA#ABL,
23,"Acer NX.GFTAA.014 Aspire ES 15.6"" Notebook, 1.1 GHz Intel Celeron N3350, 500 GB HDD, 4 GB DDR3L SDRAM, Windows 10 Home",$399.99,https://www.staples.ca/en/Acer-NX-GFTAA-014-Aspire-ES-15-6-Notebook-1-1-GHz-Intel-Celeron-N3350-500-GB-HDD-4-GB-DDR3L-SDRAM-Windows-10-Home/product_2626575_2-CA_1_20001,ES1-533-C7M8,
24,"Lenovo IdeaPad 110 80TJ00LRUS 15.6"" Notebook, 2.0 GHz AMD A6-7310, 500 GB HDD, 4 GB DDR3, Windows 10 Home",$369.99,https://www.staples.ca/en/Lenovo-IdeaPad-110-80TJ00LRUS-15-6-Notebook-2-0-GHz-AMD-A6-7310-500-GB-HDD-4-GB-DDR3-Windows-10-Home/product_2770475_2-CA_1_20001,80TJ00LRUS,
25,"Dell Refurbished Latitude E5430 14"" Netbook, 2.67 GHz Intel Core i5-3320M, 250 GB HDD, 4 GB DDR3, Windows 10 Pro",$299.99,https://www.staples.ca/en/Dell-Refurbished-Latitude-E5430-14-Netbook-2-67-GHz-Intel-Core-i5-3320M-250-GB-HDD-4-GB-DDR3-Windows-10-Pro/product_1618035_2-CA_1_20001,DELL E5430,
26,"Dell Refurbished Latitude E6430 14"" Notebook, 2.6 GHz Intel Core i5-3320M, 240 GB SSD, 8 GB DDR3, Windows 10 Pro",$409.00,https://www.staples.ca/en/Dell-Refurbished-Latitude-E6430-14-Notebook-2-6-GHz-Intel-Core-i5-3320M-240-GB-SSD-8-GB-DDR3-Windows-10-Pro/product_2448655_2-CA_1_20001,DELL E6430,
27,"Dell Refurbished Latitude E6430 14"" Notebook, 2.6 GHz Intel Core i5-3320M, 500 GB HDD, 8 GB DDR3, Windows 10 Home",$349.92,https://www.staples.ca/en/Dell-Refurbished-Latitude-E6430-14-Notebook-2-6-GHz-Intel-Core-i5-3320M-500-GB-HDD-8-GB-DDR3-Windows-10-Home/product_2572106_2-CA_1_20001,DELL E6430,
28,"ASUS Flip C100PA-DB02 10.1"" Touch Screen Chromebook, 1.8 GHz Rockchip 3288-C, 16 GB SSD, 4 GB DDR3, Chrome OS",$299.99,https://www.staples.ca/en/ASUS-Flip-C100PA-DB02-10-1-Touch-Screen-Chromebook-1-8-GHz-Rockchip-3288-C-16-GB-SSD-4-GB-DDR3-Chrome-OS/product_2473740_2-CA_1_20001,C100PA-DB02,
