ID,Name,Price,Link,Images,Model
375,"Sony Waterproof Digital Camera with 1.5"" TFT LCD, Black (DSCRX0)",CDN$ 899.99,https://www.amazon.ca/Sony-Waterproof-Digital-Camera-DSCRX0/dp/B075CKWMYX/ref=sr_1_540?s=photo&ie=UTF8&qid=1507358641&sr=1-540,https://images-na.ssl-images-amazon.com/images/I/51Tt5pVchgL._AA160_.jpg, DSCRX0
376,Nikon COOLPIX B700 Digital Camera,CDN$ 499.95,https://www.amazon.ca/Nikon-COOLPIX-B700-Digital-Camera/dp/B01C3LE44G/ref=sr_1_491?s=photo&ie=UTF8&qid=1507358641&sr=1-491,https://images-na.ssl-images-amazon.com/images/I/51gYVi9XqDL._AA160_.jpg, 26510
377,"Fujifilm X-T2GS Mirrorless Digital Camera Body, Graphite Silver","CDN$ 2,099.95",https://www.amazon.ca/Fujifilm-Mirrorless-Body-Graphite-Silver/dp/B01N7MXJUH/ref=sr_1_564?s=photo&ie=UTF8&qid=1507358641&sr=1-564,https://images-na.ssl-images-amazon.com/images/I/51CKo46YYJL._AA160_.jpg, X-T2 Body - Graphite Silver
378,Canon PowerShot SX50 HS 12MP Digital Camera with 2.8-Inch LCD (Black),CDN$ 538.00,https://www.amazon.ca/Canon-PowerShot-Digital-Camera-2-8-Inch/dp/B009B0MZ1M/ref=sr_1_516?s=photo&ie=UTF8&qid=1507358641&sr=1-516,https://images-na.ssl-images-amazon.com/images/I/51NUQJDZmJL._AA160_.jpg, 6352B001
379,Nikon D60 10.2MP Digital SLR Camera (Body Only),CDN$ 288.00,https://www.amazon.ca/Nikon-10-2MP-Digital-Camera-Body/dp/B0012OELSA/ref=sr_1_541?s=photo&ie=UTF8&qid=1507358641&sr=1-541,https://images-na.ssl-images-amazon.com/images/I/41jAYwWkqFL._AA160_.jpg, 25436
380,Nikon D7200 24.2MP 1080P DSLR Camera w/ Wi-Fi & GPS Ready + 4 Lens - 18 to 300mm - 64GB - 30PC Kit - Nikon 18-55VR - Nikon 55-300VR Lens - Opteka 2.2x Tele - Opteka 0.43x Wide/Macro + 3YR Warranty,"CDN$ 1,712.43",https://www.amazon.ca/Nikon-D7200-24-2MP-1080P-Camera/dp/B071WMXSG3/ref=sr_1_492?s=photo&ie=UTF8&qid=1507358641&sr=1-492,https://images-na.ssl-images-amazon.com/images/I/61OgMI8tCYL._AA160_.jpg, NK7200CK26
381,Nikon D80 DSLR Camera (Body only),CDN$ 149.98,https://www.amazon.ca/Nikon-DSLR-Camera-Body-only/dp/B000HGMX5M/ref=sr_1_565?s=photo&ie=UTF8&qid=1507358641&sr=1-565,https://images-na.ssl-images-amazon.com/images/I/51QBYul+UrL._AA160_.jpg, 25412
382,Nikon D750 24.3MP 1080P DSLR Camera w/ Wi-Fi & GPS Ready + 5 Lens - 21 to 1000mm - 128GB - 30PC Kit - Nikon 50mm 1.8D + Nikon 70-300G - Opteka 1000mm - 2.2x Tele - 0.43x Wide/Macro + 3YR Warranty,"CDN$ 2,643.61",https://www.amazon.ca/Nikon-24-3MP-1080P-Camera-Wi-Fi/dp/B06XZWZWBJ/ref=sr_1_517?s=photo&ie=UTF8&qid=1507358641&sr=1-517,https://images-na.ssl-images-amazon.com/images/I/61bNVNtsL5L._AA160_.jpg, NKD75050DMMK3
383,Canon EOS 80D DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS STM Lens 64GB Bundle 28PC Accessory Kit. Includes 64GB Memory Card + 0.43x Wide Angle Lens + 2.2x Telephoto Lens + 3PC Filter Kit (UV-CPL-FLD) + MORE - International Version (No Warranty),"CDN$ 1,479.99",https://www.amazon.ca/18-55mm-3-5-5-6-Accessory-Telephoto-UV-CPL-FLD/dp/B01DYKAFT8/ref=sr_1_542?s=photo&ie=UTF8&qid=1507358641&sr=1-542,https://images-na.ssl-images-amazon.com/images/I/51LItjDJbaL._AA160_.jpg, 1263C005
384,Canon EF 28-300mm f/3.5-5.6L IS USM Lens,"CDN$ 2,799.95",https://www.amazon.ca/Canon-28-300mm-3-5-5-6L-USM-Lens/dp/B0001G6U48/ref=sr_1_493?s=photo&ie=UTF8&qid=1507358641&sr=1-493,https://images-na.ssl-images-amazon.com/images/I/41EGM75Z99L._AA160_.jpg, 9322A002
