ID,Name,Price,Link,Images,Model
14,Canon PIXMA iP110 Wireless Mobile Inkjet Printer plus Lithium-ion battery,CDN$ 229.99,https://www.amazon.ca/Canon-Wireless-Printer-Lithium-ion-battery/dp/B00O524KXW/ref=sr_1_28/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-28,https://images-na.ssl-images-amazon.com/images/I/41DVLWdXwvL._AA160_.jpg, 9596B023
15,"Canon PIXMA MX922 Wireless All-in-One Business Inkjet Printer with Scanner, Copier, Fax  and Auto Document Feeder",CDN$ 150.60,https://www.amazon.ca/Canon-Wireless-Business-Printer-Document/dp/B00B0IC37E/ref=lp_677265011_1_4/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-4,https://images-na.ssl-images-amazon.com/images/I/41njPVO23-L._AA160_.jpg, 6992B003
16,"Canon MG3020 Wireless Color Photo Printer with Scanner and Copier, White",CDN$ 29.99,https://www.amazon.ca/Canon-MG3020-Wireless-Printer-Scanner/dp/B01LY38WGS/ref=sr_1_77/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-77,https://images-na.ssl-images-amazon.com/images/I/41URwPDr2mL._AA160_.jpg, MG3020
17,Brother MFC-L2700DW Monochrome Laser All-In One Printer with Wireless Networking and Duplex Printing,CDN$ 263.59,https://www.amazon.ca/Brother-MFC-L2700DW-Monochrome-Wireless-Networking/dp/B00MFG58N6/ref=lp_677265011_1_5/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-5,https://images-na.ssl-images-amazon.com/images/I/41pcS8FVG2L._AA160_.jpg, MFCL2700DW
18,Canon PIXMA TS3120 Wireless Color Photo Printer with Scanner & Copier - White,CDN$ 99.99,https://www.amazon.ca/Canon-TS3120-Wireless-Printer-Scanner/dp/B0753Q8G9J/ref=sr_1_78/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-78,https://images-na.ssl-images-amazon.com/images/I/317bDmWOgyL._AA160_.jpg, 2226C023
19,"HP LaserJet Pro MFP M130fw Wireless Monochrome Printer with Scanner, Copier & Fax (G3Q60A#BGJ)",CDN$ 169.99,https://www.amazon.ca/HP-LaserJet-M130fw-Wireless-Monochrome/dp/B01LBWELFK/ref=sr_1_29/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-29,https://images-na.ssl-images-amazon.com/images/I/41Jq0r6I7FL._AA160_.jpg, M130fw
20,Canon PIXMA iP7220 Wireless Inkjet Colour Photo Printer,CDN$ 99.99,https://www.amazon.ca/Canon-iP7220-Wireless-Inkjet-Printer/dp/B00EU80AQ2/ref=lp_677265011_1_6/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-6,https://images-na.ssl-images-amazon.com/images/I/31-JAOkyBdL._AA160_.jpg, 6219B003
21,"Canon MG3029 Wireless Color Photo Printer with Scanner and Copier, Black",CDN$ 19.99,https://www.amazon.ca/Canon-MG3029-Wireless-Printer-Scanner/dp/B01M190DRI/ref=lp_677265011_1_7/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-7,https://images-na.ssl-images-amazon.com/images/I/31irl42IFBL._AA160_.jpg, MG3029
22,"Canon PIXMA PRO-100 13-Inch x 19-Inch Professional Photo Inkjet Printer, Grey (6228B003)",CDN$ 429.60,https://www.amazon.ca/Canon-PRO-100-13-Inch-Professional-6228B003/dp/B009ND8CIW/ref=sr_1_79/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-79,https://images-na.ssl-images-amazon.com/images/I/319oagElpvL._AA160_.jpg, 6228B003
23,"Epson XP-830 Wireless All-in-One Inkjet Printer with Scanner, Copier and Fax (C11CE78201)",CDN$ 127.63,https://www.amazon.ca/Epson-Wireless-Printer-Scanner-C11CE78201/dp/B010UU5XSS/ref=sr_1_30/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-30,https://images-na.ssl-images-amazon.com/images/I/41SFs5MPELL._AA160_.jpg, C11CE78201
24,Brother MFC-9340CDW Wireless Laser Color All-in-One LED Multifunction Printer with Duplex Printing,CDN$ 536.99,https://www.amazon.ca/Brother-MFC-9340CDW-Wireless-Multifunction-Printing/dp/B00DJG8D88/ref=lp_677265011_1_8/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-8,https://images-na.ssl-images-amazon.com/images/I/41wQPoxGrSL._AA160_.jpg, MFC9340CDW
25,Magic Bullet Print Head Cleaner and Unblocker Kit,CDN$ 19.99,https://www.amazon.ca/Magic-Bullet-Print-Cleaner-Unblocker/dp/B019WOTMGW/ref=sr_1_31/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-31,https://images-na.ssl-images-amazon.com/images/I/41kxwdraTeL._AA160_.jpg, MB
26,"Canon PIXMA MX532 Wireless All-in-One Business Inkjet Printer with Scanner, Copier, Fax and Auto Document Feeder.",CDN$ 69.99,https://www.amazon.ca/Canon-Wireless-Business-Printer-Document/dp/B00HQDPHU2/ref=sr_1_80/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-80,https://images-na.ssl-images-amazon.com/images/I/41WI+N6Q8ML._AA160_.jpg, 8750B003
27,HP OfficeJet Pro 8710 Wireless All-in-One Photo Printer with Mobile Printing (M9L66A),CDN$ 119.65,https://www.amazon.ca/HP-OfficeJet-Wireless-Printing-M9L66A/dp/B01CJNMRG0/ref=lp_677265011_1_9/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-9,https://images-na.ssl-images-amazon.com/images/I/41Zrh1++wBL._AA160_.jpg, M9L66A#B1H
28,Canon PIXMA MG3620 Wireless All-in-One Inkjet Printer Black,CDN$ 56.99,https://www.amazon.ca/Canon-MG3620-Wireless-Inkjet-Printer/dp/B017EOUT4Q/ref=sr_1_32/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-32,https://images-na.ssl-images-amazon.com/images/I/41pI-W8u0JL._AA160_.jpg, 0515C003
29,"HP Laserjet Pro M252dw Wireless Colour Laser Printer, (B4A22A)",CDN$ 373.26,https://www.amazon.ca/HP-Laserjet-Wireless-Printer-B4A22A/dp/B00S74JAHK/ref=sr_1_81/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-81,https://images-na.ssl-images-amazon.com/images/I/41AppKtznfL._AA160_.jpg, B4A22A#BGJ
30,Epson XP-440 Expression Home Wireless Color Photo Printer with Scanner and Copier,CDN$ 49.99,https://www.amazon.ca/Epson-XP-440-Expression-Wireless-Printer/dp/B06W9K5FD2/ref=lp_677265011_1_10/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-10,https://images-na.ssl-images-amazon.com/images/I/51rfOlQE-ZL._AA160_.jpg, XP-440
31,"Canon imageCLASS MF249dw Wireless Monochrome Printer with Scanner, Copier and Fax",CDN$ 254.06,https://www.amazon.ca/Canon-imageCLASS-MF249dw-Wireless-Monochrome/dp/B01K9OM9NW/ref=sr_1_33/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-33,https://images-na.ssl-images-amazon.com/images/I/51pqCbBAOTL._AA160_.jpg, Canon imageCLASS MF249dw
32,"HP Sprocket Portable Photo Printer, print social media photos on 2x3 sticky-backed paper - white (X7N07A)",CDN$ 152.97,https://www.amazon.ca/HP-Sprocket-Portable-Printer-sticky-backed/dp/B01LBWEMP4/ref=lp_677265011_1_11/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-11,https://images-na.ssl-images-amazon.com/images/I/41yJUx1PuqL._AA160_.jpg, X7N07A
33,AceToner (TM) Toner Cartridge Black Toner Cartridge CLT-K406S Compatible for Samsung CLP-365 Black CLX-3305 CLX-3305FN CLX-3305FW CLP-360 CLP-365 CLP-365W,CDN$ 25.99,https://www.amazon.ca/AceToner-Cartridge-Compatible-CLX-3305FN-CLX-3305FW/dp/B01B6QXMZ6/ref=sr_1_82/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-82,https://images-na.ssl-images-amazon.com/images/I/41kivKt1T6L._AA160_.jpg, 56-009
34,HP OfficeJet Pro 8720 Wireless All-in-One Photo Printer with Mobile Printing (M9L75A),CDN$ 199.74,https://www.amazon.ca/HP-OfficeJet-Wireless-Printing-M9L75A/dp/B01CJNMMZG/ref=lp_677265011_1_12/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-12,https://images-na.ssl-images-amazon.com/images/I/41Ge6n9bqtL._AA160_.jpg, M9L75A#B1H
35,"Canon MAXIFY MB2320 Wireless Office All-In-One Inkjet Printer with  Scanner, Copier, Fax and High Speed Auto Document Feeder",CDN$ 196.64,https://www.amazon.ca/Canon-MB2320-Wireless-Printer-Document/dp/B00QJNBA0G/ref=sr_1_34/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-34,https://images-na.ssl-images-amazon.com/images/I/41DqmfbhYiL._AA160_.jpg, MB2320
36,Ocr TM 2pcs Air Straight Fitting PC4-M6 push-in fitting For 3D Printer RepRap Rostock Kossel + 6 Feet PTFE Teflon Bowden Tube 1.75mm Filament,CDN$ 16.99,https://www.amazon.ca/Ocr-Straight-Fitting-fitting-Filament/dp/B01CJAEO8M/ref=sr_1_83/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-83,https://images-na.ssl-images-amazon.com/images/I/41cLnW22y-L._AA160_.jpg,none
37,"Canon SELPHY CP1300 Wireless Compact Photo Printer with AirPrint and Mopria Device Printing, Black",CDN$ 149.99,https://www.amazon.ca/Canon-Wireless-Compact-AirPrint-Printing/dp/B073YHRPV5/ref=lp_677265011_1_13/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-13,https://images-na.ssl-images-amazon.com/images/I/31g8HWzlaoL._AA160_.jpg, 2234C001
