ID,Name,Price,Link,Images,Model
15,Bose Solo 15 Series II TV Sound System,CDN$ 449.00,https://www.amazon.ca/Bose-Solo-15-Sound-System/dp/B012B7S46Q/ref=sr_1_76/131-0827862-1841245?s=electronics&ie=UTF8&qid=1507299369&sr=1-76,https://images-na.ssl-images-amazon.com/images/I/319lnoABcEL._AA160_.jpg, 740928-1110
16,VIZIO 38-Inch 2.1 Sound Bar with Wireless Subwoofer (SB3821-C6),CDN$ 228.00,https://www.amazon.ca/VIZIO-38-Inch-Wireless-Subwoofer-SB3821-C6/dp/B00SMBG8QY/ref=lp_677226011_1_5/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-5,https://images-na.ssl-images-amazon.com/images/I/31rpzEASubL._AA160_.jpg, SB3821-C6
17,"Polk Audio Dual 5.25-Inch Two-Way Center Channel In-Wall Speaker, 255c-RT",CDN$ 349.99,https://www.amazon.ca/Polk-Audio-5-25-Inch-Two-Way-Channel/dp/B004L9DGCK/ref=sr_1_52/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-52,https://images-na.ssl-images-amazon.com/images/I/51Ej4Rp3YSL._AA160_.jpg, 255 CRT
18,"Bluetooth Speakers, ARCHEER 25W Wireless Bluetooth Speaker with Super Bass, Loud Bamboo Wood Home Audio Wireless Speakers with Subwoofer",CDN$ 99.99,https://www.amazon.ca/Bluetooth-Speakers-ARCHEER-Wireless-Subwoofer/dp/B01HLVMGNE/ref=sr_1_30/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-30,https://images-na.ssl-images-amazon.com/images/I/51+UZSwvtnL._AA160_.jpg, A320
19,Bose Companion 2 Series III Multimedia Speakers,CDN$ 109.84,https://www.amazon.ca/Bose-Companion-III-Multimedia-Speakers/dp/B00CD1PTF0/ref=lp_677226011_1_6/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-6,https://images-na.ssl-images-amazon.com/images/I/41Msfl5WSZL._AA160_.jpg, 354495-1100
20,"Bose SoundLink Micro Bluetooth Speaker, Bright Orange",CDN$ 139.00,https://www.amazon.ca/Bose-SoundLink-Bluetooth-Speaker-Bright/dp/B0748PGNBX/ref=sr_1_53/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-53,https://images-na.ssl-images-amazon.com/images/I/51DQwEgpHcL._AA160_.jpg, 783342-0900
21,Dual LU43PB 3-way Indoor/Outdoor Speakers (Black),CDN$ 48.13,https://www.amazon.ca/Dual-LU43PB-Indoor-Outdoor-Speakers/dp/B00081NX5U/ref=sr_1_31/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-31,https://images-na.ssl-images-amazon.com/images/I/51GQZT32D9L._AA160_.jpg, LU43PB
22,"Edifier R1280T Powered Bookshelf Speakers, 2.0 Active Near Field Monitors - 4"" Studio Monitor Speaker - Wooden Enclosure - 42 Watt RMS",CDN$ 124.99,https://www.amazon.ca/Edifier-R1280T-Bookshelf-Speakers-Monitors/dp/B016P9HJIA/ref=lp_677226011_1_7/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-7,https://images-na.ssl-images-amazon.com/images/I/41JdMdErl7L._AA160_.jpg, R1280T
23,"Elac - Debut F5, Floorstanding Loudspeaker (Black - Each/Single)",CDN$ 282.73,https://www.amazon.ca/Elac-Debut-Floorstanding-Loudspeaker-Single/dp/B014GSEPY8/ref=sr_1_54/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-54,https://images-na.ssl-images-amazon.com/images/I/21A2dlQE6-L._AA160_.jpg, DF51-BK
24,PIONEER TSG1645R 6.5-Inch 2-Way 250W Car Speakers,CDN$ 48.94,https://www.amazon.ca/PIONEER-TSG1645R-6-5-Inch-2-Way-Speakers/dp/B00NF5EQK2/ref=sr_1_32/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-32,https://images-na.ssl-images-amazon.com/images/I/41LQDWpQ0TL._AA160_.jpg, TS-G1645R
25,VIZIO SB2820n-E0 Sound Bar Home Speaker,CDN$ 108.00,https://www.amazon.ca/VIZIO-SB2820n-E0-Sound-Home-Speaker/dp/B06XTD2PTB/ref=lp_677226011_1_8/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-8,https://images-na.ssl-images-amazon.com/images/I/31bjXoV9zyL._AA160_.jpg, SB2820n-E0
26,"UE MEGABOOM Wireless Bluetooth Speaker, Lava Red (984-000484)",CDN$ 259.99,https://www.amazon.ca/MEGABOOM-Wireless-Bluetooth-Speaker-984-000484/dp/B00TXBOWRE/ref=sr_1_55/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-55,https://images-na.ssl-images-amazon.com/images/I/41HRPagAR-L._AA160_.jpg, 984-000484
27,"Bose SoundTouch 30 Series III Wireless Music System, Black",CDN$ 599.00,https://www.amazon.ca/Bose-SoundTouch-Wireless-Music-System/dp/B011IKGT46/ref=sr_1_33/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-33,https://images-na.ssl-images-amazon.com/images/I/51olFdTtGcL._AA160_.jpg, 738102-1100
28,"VicTsing Vtin Bluetooth Speakers, Mini Portable Waterproof Speaker Hands-Free Speakerphone ( with Buit-in Mic, Superior Sound, Blue)",CDN$ 24.99,https://www.amazon.ca/VicTsing-Bluetooth-Waterproof-Hands-Free-Speakerphone/dp/B00NHDPLM4/ref=lp_677226011_1_9/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-9,https://images-na.ssl-images-amazon.com/images/I/51EdhBpr6fL._AA160_.jpg, VS1-PA57D
29,Pioneer SP-C22 Andrew Jones Designed Center Channel Speaker,CDN$ 129.99,https://www.amazon.ca/Pioneer-SP-C22-Designed-Channel-Speaker/dp/B008NCD2EI/ref=sr_1_77/131-0827862-1841245?s=electronics&ie=UTF8&qid=1507299369&sr=1-77,https://images-na.ssl-images-amazon.com/images/I/41wEeVqMtpL._AA160_.jpg, SP-C22
30,"Sony HTCT80 2.1 Channel Sound Bar with Wired Subwoofer Soundbar Home Speaker, Set of 1, Black",CDN$ 168.00,https://www.amazon.ca/Sony-Channel-Subwoofer-Soundbar-Speaker/dp/B013WVVNUY/ref=sr_1_56/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-56,https://images-na.ssl-images-amazon.com/images/I/31Z0HVzUilL._AA160_.jpg, HT-CT80
