ID,Name,Price,Link,Images,Model
386,"Micro Pc Mi19N with intel celeron J1900 2G ram 128G SSD WIFI ,4 Intel Gbe Ports ,VGA,4 USB 10W ,home network",CDN$ 287.30,https://www.amazon.ca/Micro-Mi19N-intel-celeron-network/dp/B01N7IXHJ1/ref=sr_1_417?s=pc&ie=UTF8&qid=1507347415&sr=1-417,https://images-na.ssl-images-amazon.com/images/I/41ayMknGCIL._AA160_.jpg, Mi19N
387,2016 Quad core Dual Lan mini pc Fanless 4G ram 16G SSD WIFI Intel Celeron N3150 up to 2.08Ghz Dual nic Dual HDMI ubuntu intel nuc,CDN$ 260.69,https://www.amazon.ca/Fanless-Intel-Celeron-2-08Ghz-ubuntu/dp/B01GOM1OMU/ref=sr_1_465?s=pc&ie=UTF8&qid=1507347415&sr=1-465,https://images-na.ssl-images-amazon.com/images/I/41OUowIVvyL._AA160_.jpg, Mi3150C
388,"CybertronPC TGMRHDR7X4000BU Rhodium R7-X4 Gaming PC - AMD FX-4300 3.8GHz Quad-Core Processor, 8GB DDR3 Memory, AMD Radeon R7 360 Graphics, 1TB HDD, DVDRW, Microsoft Windows 10 Home 64-Bit",CDN$ 761.99,https://www.amazon.ca/CybertronPC-TGMRHDR7X4000BU-Rhodium-R7-X4-Gaming/dp/B01DDR04RK/ref=sr_1_441?s=pc&ie=UTF8&qid=1507347415&sr=1-441,https://images-na.ssl-images-amazon.com/images/I/41HQutEuOQL._AA160_.jpg, TGMRHDR7X4000BU
389,"HP V8P52AA#ABL 23.8-Inch Full HD All-in-One (Intel Core i3-6100U, 8GB RAM, 1TB HDD) with Windows 10 Home Desktop",CDN$ 863.44,https://www.amazon.ca/HP-V8P52AA-ABL-23-8-Inch-i3-6100U/dp/B01JI7XFF2/ref=sr_1_393?s=pc&ie=UTF8&qid=1507347415&sr=1-393,https://images-na.ssl-images-amazon.com/images/I/41kVcZGiqsL._AA160_.jpg, V8P52AA#ABL
390,"CYBERPOWERPC BattleBox Ulitmate Liquid Cool SLC8502ACA Gaming PC (AMD Ryzen 7 1700X 3.4GHz, NVIDIA GTX 1080 Ti 11GB, 16GB DDR4, 240GB SSD, 2TB HDD, WiFi & Win 10 Home)","CDN$ 3,049.99",https://www.amazon.ca/CYBERPOWERPC-Supreme-Liquid-SLC8502ACA-Gaming/dp/B07287PT43/ref=sr_1_418?s=pc&ie=UTF8&qid=1507347415&sr=1-418,https://images-na.ssl-images-amazon.com/images/I/516O9gySA8L._AA160_.jpg, SLC8502ACA
391,LENOVO ThinkCentre M92p 3209 SFF: Intel Core i5 3.3 GHz / 8 Gb DDR3 / 1 Tb / Windows 10 Professional,CDN$ 299.99,https://www.amazon.ca/LENOVO-ThinkCentre-M92p-3209-SFF/dp/B06Y4WKQ32/ref=sr_1_394?s=pc&ie=UTF8&qid=1507347415&sr=1-394,https://images-na.ssl-images-amazon.com/images/I/51Qa58RL0OL._AA160_.jpg, M92p
392,"CYBERPOWERPC Gamer Ultra GUA4000A w/ AMD Vishera FX-8320 3.5GHz CPU, 16GB DDR3, AMD R7 250 2GB, 2TB HDD, 24X DVD+-RW & Win 10 Home 64-Bit","CDN$ 1,149.00",https://www.amazon.ca/CYBERPOWERPC-GUA4000A-Vishera-FX-8320-3-5GHz/dp/B01EUC7LWI/ref=sr_1_442?s=pc&ie=UTF8&qid=1507347415&sr=1-442,https://images-na.ssl-images-amazon.com/images/I/51XEuMTbeTL._AA160_.jpg, GUA4000A
393,Noiseless Fanless Light Small Computer Mini PC Desktop with Intel Core i5 4200U 1.6GHz Max 2.6GHz Dual Core 4 thread 300M Wifi RAM 8GB SSD 128GB,CDN$ 499.99,https://www.amazon.ca/Noiseless-Fanless-Computer-Desktop-1-6GHz/dp/B06Y4PSM1S/ref=sr_1_466?s=pc&ie=UTF8&qid=1507347415&sr=1-466,https://images-na.ssl-images-amazon.com/images/I/51pQTxCJscL._AA160_.jpg, B1-i5-4200U
394,Zotac Mini PC Barebones System ZBOX-CI520NANO-P-U,CDN$ 754.05,https://www.amazon.ca/Zotac-Mini-Barebones-System-ZBOX-CI520NANO-P-U/dp/B00KVLERHK/ref=sr_1_395?s=pc&ie=UTF8&qid=1507347415&sr=1-395,https://images-na.ssl-images-amazon.com/images/I/41J1lvbviqL._AA160_.jpg, ZBOX-CI520NANO-P-U
395,TS S510 i3 4GB 500GB,CDN$ 856.85,https://www.amazon.ca/TS-S510-i3-4GB-500GB/dp/B01E1LQ444/ref=sr_1_419?s=pc&ie=UTF8&qid=1507347415&sr=1-419,https://images-na.ssl-images-amazon.com/images/I/41GjPuJficL._AA160_.jpg, MAIN-71113
