ID,Name,Price,Link,ModelNumber
15,"Lenovo K6 Power (Gold, 32 GB)","₹8,499",https://www.flipkart.com/lenovo-k6-power-gold-32-gb/p/itmezenfhm4mvptw?pid=MOBEZEMYH7FQBGBQ&srno=b_5_2&otracker=browse&lid=LSTMOBEZEMYH7FQBGBQRHVU0S&fm=organic&iid=9dc8ceeb-1920-4c6d-bc87-f13d76eaf5fc.MOBEZEMYH7FQBGBQ.SEARCH,K33A42
16,"Swipe Elite Max (Onyx Black, 32 GB)","₹7,999",https://www.flipkart.com/swipe-elite-max-onyx-black-32-gb/p/itmemrtzgagpuybf?pid=MOBEH6YFYBNMYNUM&srno=b_4_3&otracker=browse&lid=LSTMOBEH6YFYBNMYNUMYATVBP&fm=organic&iid=c8468b3b-b3f2-44d3-8a73-debbd6572551.MOBEH6YFYBNMYNUM.SEARCH,none
17,"Sansui Horizon 2S (Rose Gold Rose, 16 GB)","₹3,999",https://www.flipkart.com/sansui-horizon-2s-rose-gold-rose-16-gb/p/itmexuzywkxgywk7?pid=MOBEXG5R4M9VPRH8&srno=b_1_5&otracker=browse&lid=LSTMOBEXG5R4M9VPRH8JG8DXM&fm=organic&iid=f8b19b2d-0371-411f-bbec-0e2eafb306b8.MOBEXG5R4M9VPRH8.SEARCH,S504730
18,"Micromax Spark 4G (Champagne, 8 GB)","₹3,999",https://www.flipkart.com/micromax-spark-4g-champagne-8-gb/p/itmexfrggweseck9?pid=MOBEXFRGFQUSAHBH&srno=b_3_3&otracker=browse&lid=LSTMOBEXFRGFQUSAHBHB99AYZ&fm=organic&iid=94625a40-f5c5-4dfb-8efb-65a82f251bcb.MOBEXFRGFQUSAHBH.SEARCH,Q409
19,"Meizu M5 (Black, 32 GB)","₹7,499",https://www.flipkart.com/meizu-m5-black-32-gb/p/itmeubvrzajgeaea?pid=MOBEWDBRBFHZECEF&srno=b_7_1&otracker=browse&lid=LSTMOBEWDBRBFHZECEFNFXK6W&fm=organic&iid=c2d4f642-0024-40bf-a8ed-b821df373c0b.MOBEWDBRBFHZECEF.SEARCH,M611H
20,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_2_6&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=fec6ef39-0e33-4f3b-8a27-178101fe2683.MOBEXBZBVHSHZFGW.SEARCH,iV 501
21,"Samsung Galaxy S7 (Silver Titanium, 32 GB)","₹30,990",https://www.flipkart.com/samsung-galaxy-s7-silver-titanium-32-gb/p/itmeuyda4qgqetc6?pid=MOBEGFZPKXDMDBJ2&srno=b_6_2&otracker=browse&lid=LSTMOBEGFZPKXDMDBJ28J6IRC&fm=organic&iid=b090c513-ca9c-4824-83ff-f95acaf75bd3.MOBEGFZPKXDMDBJ2.SEARCH,SM-G930FZKUINS/SM-G930FZSUINS/SM-G930FZDUINS
22,"Lenovo K6 Power (Grey, 32 GB)","₹8,499",https://www.flipkart.com/lenovo-k6-power-grey-32-gb/p/itmezenfhm4mvptw?pid=MOBEZENFZBPW8UMF&srno=b_5_3&otracker=browse&lid=LSTMOBEZENFZBPW8UMF7P8NY0&fm=organic&iid=78ff7916-1e4e-478b-af04-9256841eb918.MOBEZENFZBPW8UMF.SEARCH,K33A42
23,"Samsung J7 Max (Black, 32 GB)","₹17,900",https://www.flipkart.com/samsung-j7-max-black-32-gb/p/itmev5vtbw8pmatj?pid=MOBEV5VTG57KHRYV&srno=b_8_1&otracker=browse&lid=LSTMOBEV5VTG57KHRYVSS60G2&fm=organic&iid=4350958d-6f0e-4a04-8b0d-e0633111277a.MOBEV5VTG57KHRYV.SEARCH,SM-G615FZKDINS
24,"iVooMi Me1 (Carbon Black, 8 GB)","₹3,499",https://www.flipkart.com/ivoomi-me1-carbon-black-8-gb/p/itmexg2mdvp3e6r8?pid=MOBEXE5DFUFVPYGE&srno=b_4_4&otracker=browse&lid=LSTMOBEXE5DFUFVPYGE5OUR64&fm=organic&iid=e7f10761-085c-4eef-b33f-232b051d5eeb.MOBEXE5DFUFVPYGE.SEARCH,iV 505
25,"Micromax Spark 4G (Black, 8 GB)","₹3,999",https://www.flipkart.com/micromax-spark-4g-black-8-gb/p/itmexfrggweseck9?pid=MOBEXFRGMRFESQ6M&srno=b_3_4&otracker=browse&lid=LSTMOBEXFRGMRFESQ6MQXKX26&fm=organic&iid=d39098af-f44b-4960-917b-9bf850655697.MOBEXFRGMRFESQ6M.SEARCH,Q409
26,"OPPO F3 Plus (Gold, 64 GB)","₹24,990",https://www.flipkart.com/oppo-f3-plus-gold-64-gb/p/itmeuyd8ym5mwtgh?pid=MOBES9G5SJHYT9QX&srno=b_1_6&otracker=browse&lid=LSTMOBES9G5SJHYT9QXIH4ZZC&fm=organic&iid=7ef714ac-774d-437b-a929-a6cfe3e878de.MOBES9G5SJHYT9QX.SEARCH,CPH1613
27,"Meizu M5 (Gold, 32 GB)","₹7,499",https://www.flipkart.com/meizu-m5-gold-32-gb/p/itmeubvrzajgeaea?pid=MOBEUBVRG7XBSSSF&srno=b_7_2&otracker=browse&lid=LSTMOBEUBVRG7XBSSSFNWN6U9&fm=organic&iid=40f10150-aa85-4a8f-87ee-fe88434c1467.MOBEUBVRG7XBSSSF.SEARCH,M611H
28,"iVooMi Me3S (Teal Blue, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-teal-blue-32-gb/p/itmexduzfyqpuypc?pid=MOBEXCWXWUZEVYE5&srno=b_2_7&otracker=browse&lid=LSTMOBEXCWXWUZEVYE5JQZEFH&fm=organic&iid=b08f0c7d-f29c-47e0-be0b-aa1308f47864.MOBEXCWXWUZEVYE5.SEARCH,iV 501
29,"Samsung Galaxy S7 (Black Onyx, 32 GB)","₹30,990",https://www.flipkart.com/samsung-galaxy-s7-black-onyx-32-gb/p/itmeuyda4qgqetc6?pid=MOBEGFZPKG44NJFA&srno=b_6_3&otracker=browse&lid=LSTMOBEGFZPKG44NJFAEOHFLQ&fm=organic&iid=b6cfa283-ff1b-4d24-9fe0-a7eb394a52e5.MOBEGFZPKG44NJFA.SEARCH,SM-G930FZKUINS/SM-G930FZSUINS/SM-G930FZDUINS
30,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_5_4&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=98f87d1a-3cfa-4415-992a-18af79fbf74f.MOBEXBZBVHSHZFGW.SEARCH,iV 501
31,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_8_2&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=09fa4fed-f23b-4ba0-9813-be9c56cfc69a.MOBEXBZBVHSHZFGW.SEARCH,iV 501
32,"Infinix Note 4 (Ice Blue, 32 GB)","₹7,999",https://www.flipkart.com/infinix-note-4-ice-blue-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UCTQT3M6G&srno=b_4_5&otracker=browse&lid=LSTMOBEWF3UCTQT3M6GJ3ADXL&fm=organic&iid=f103c21d-916d-42ba-a85e-e2f4226db7d2.MOBEWF3UCTQT3M6G.SEARCH,X 572
33,Nokia 216,"₹2,578",https://www.flipkart.com/nokia-216/p/itmevt8fpmqdvpkg?pid=MOBEZNGCFBDBBN57&srno=b_7_3&otracker=browse&lid=LSTMOBEZNGCFBDBBN57KPZS7M&fm=organic&iid=91b4b98b-2d4b-4a01-94ee-021f21da5a0f.MOBEZNGCFBDBBN57.SEARCH,216
34,"Lenovo K8 Plus (Venom Black, 32 GB)","₹10,999",https://www.flipkart.com/lenovo-k8-plus-venom-black-32-gb/p/itmex9kpkcgf7xf7?pid=MOBEWN63AUNVTJGU&srno=b_2_9&otracker=browse&lid=LSTMOBEWN63AUNVTJGUXXW4K5&fm=organic&iid=b030dc32-9737-40fc-85bd-bae549fa0a01.MOBEWN63AUNVTJGU.SEARCH,PA8C0008IN
