ID,Name,Price,Link,ModelNumber
13,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_4_2&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=44b9cadf-f85c-43f3-9286-c934f68df4c6.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
14,Digiflip Pro XT 712 Tablet,"₹10,999",https://www.flipkart.com/digiflip-pro-xt-712-tablet/p/itme93hkz7ytvph4?pid=TABDTP4STQJ3R8ZT&srno=b_6_1&otracker=browse&lid=LSTTABDTP4STQJ3R8ZTZ8DXPV&fm=organic&iid=ea5eca28-7e64-4598-9377-83d3698b1ea1.TABDTP4STQJ3R8ZT.SEARCH,XT 712
15,Lenovo Yoga 3 (2 GB RAM) 16 GB 8 inch with Wi-Fi+4G Tablet,"₹12,990",https://www.flipkart.com/lenovo-yoga-3-2-gb-ram-16-8-inch-wi-fi-4g-tablet/p/itmefuygsnmuzfgs?pid=TABEFUYGFC5BVGWK&srno=b_1_6&otracker=browse&lid=LSTTABEFUYGFC5BVGWKA4WANT&fm=organic&iid=a6d1153f-181c-4465-83ef-74ada78b9047.TABEFUYGFC5BVGWK.SEARCH,Yt3-850m
16,Apple iPad Pro 128 GB 9.7 inch with Wi-Fi Only,"₹51,755",https://www.flipkart.com/apple-ipad-pro-128-gb-9-7-inch-wi-fi-only/p/itmeexczgzr9yhfj?pid=TABEEXCZAFUVWSMU&srno=b_5_2&otracker=browse&lid=LSTTABEEXCZAFUVWSMUJFIUYS&fm=organic&iid=fa29c4b0-4975-4576-b8db-95d6a55ee595.TABEEXCZAFUVWSMU.SEARCH,MLMX2HN/A
17,Apple iPad Pro 64 GB 10.5 inch with Wi-Fi+4G,"₹60,990",https://www.flipkart.com/apple-ipad-pro-64-gb-10-5-inch-wi-fi-4g/p/itmeuqasfmj8sghf?pid=TABEUQASE2A64HMH&srno=b_3_4&otracker=browse&lid=LSTTABEUQASE2A64HMHRXL07A&fm=organic&iid=47094492-aed8-4627-8b06-02dbf12f5b86.TABEUQASE2A64HMH.SEARCH,MQF12HN/A
18,Iball Slide Nimble 4GF 16 GB 8 inch with Wi-Fi+4G Tablet,"₹10,499",https://www.flipkart.com/iball-slide-nimble-4gf-16-gb-8-inch-wi-fi-4g-tablet/p/itmeqr2nqjfask8e?pid=TABEQR2GYMT2C37Q&srno=b_2_5&otracker=browse&lid=LSTTABEQR2GYMT2C37QISWEPV&fm=organic&iid=eb1b0a90-7a92-4a88-ad24-4abd881f0756.TABEQR2GYMT2C37Q.SEARCH,Slide Nimble 4GF
19,Shrih White 7 Inch Tablet 32 GB 7 inch with Wi-Fi+3G Tablet,"₹7,000",https://www.flipkart.com/shrih-white-7-inch-tablet-32-gb-wi-fi-3g/p/itmee9azftgw6w8r?pid=TABEE9AZHEHMTSHN&srno=b_7_1&otracker=browse&lid=LSTTABEE9AZHEHMTSHNO2NON4&fm=organic&iid=bdc80f99-f22c-4bd6-8e25-dc15afb5c851.TABEE9AZHEHMTSHN.SEARCH,SH-0010
20,Apple iPad Pro 512 GB 10.5 inch with Wi-Fi Only,"₹72,990",https://www.flipkart.com/apple-ipad-pro-512-gb-10-5-inch-wi-fi-only/p/itmeuqasrnehgk7b?pid=TABEUQASV3NVGZXT&srno=b_4_3&otracker=browse&lid=LSTTABEUQASV3NVGZXTLL9WFM&fm=organic&iid=0c367750-af77-445a-9f08-1eff3b8fb443.TABEUQASV3NVGZXT.SEARCH,MPGL2HN/A
21,Apple iPad Pro 32 GB 9.7 inch with Wi-Fi+4G,"₹56,388",https://www.flipkart.com/apple-ipad-pro-32-gb-9-7-inch-wi-fi-4g/p/itmeq7z5dbjde9hy?pid=TABEPQGCXWHXGZ6F&srno=b_6_2&otracker=browse&lid=LSTTABEPQGCXWHXGZ6FUFBQDE&fm=organic&iid=02471a8e-8ee7-4249-bc04-be97528a1b41.TABEPQGCXWHXGZ6F.SEARCH,MLPX2HN/A
22,Boox C67ML CARTA 8 GB 6 inch with Wi-Fi Only Tablet,"₹9,700",https://www.flipkart.com/boox-c67ml-carta-8-gb-6-inch-wi-fi-only-tablet/p/itmef4jqznuhgxbj?pid=TABEF4JQPDYYH4CY&srno=b_5_3&otracker=browse&lid=LSTTABEF4JQPDYYH4CYAKVKW0&fm=organic&iid=cfe17d1a-cd9a-41c2-ac9d-f79cddb2455e.TABEF4JQPDYYH4CY.SEARCH,BOOX C67ML CARTA
23,Datawind 3G7X 8 GB 7 inch with Wi-Fi+3G Tablet,"₹3,449",https://www.flipkart.com/datawind-3g7x-8-gb-7-inch-wi-fi-3g-tablet/p/itmesajdu8xwjyxg?pid=TABESAJDV4HTTVZT&srno=b_3_5&otracker=browse&lid=LSTTABESAJDV4HTTVZT3NAVEI&fm=organic&iid=b1500ab5-efeb-4214-920f-192768172e71.TABESAJDV4HTTVZT.SEARCH,3G7X
