ID,Name,Price,Link,ModelNumber
12,HP Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14-ar005TU Notebook,"₹32,990",https://www.flipkart.com/hp-core-i3-6th-gen-4-gb-1-tb-hdd-windows-10-home-14-ar005tu-notebook/p/itmeskj7tv87fvzz?pid=COMESKGXFRHENZNG&srno=b_3_3&otracker=CLP_lhs&lid=LSTCOMESKGXFRHENZNGK0LIUK&iid=68919488-1a42-47dc-b6f1-5a74a8fff0c2.COMESKGXFRHENZNG.SEARCH,14-ar005TU
13,Lenovo Yoga 510 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop,"₹41,990",https://www.flipkart.com/lenovo-yoga-510-core-i3-6th-gen-4-gb-1-tb-hdd-windows-10-home-2-1-laptop/p/itmerb83xqspcapc?pid=COMERB83JD5JMK7F&srno=b_2_4&otracker=CLP_lhs&lid=LSTCOMERB83JD5JMK7FDRTGJS&iid=c8d17aa2-8a62-47f7-af0b-2bbe066fd318.COMERB83JD5JMK7F.SEARCH,Yoga 510
14,Acer Switch One Atom Quad Core - (2 GB/500 GB HDD/32 GB EMMC Storage/Windows 10 Home) SW1-011 2 in 1 L...,"₹13,990",https://www.flipkart.com/acer-switch-one-atom-quad-core-2-gb-500-gb-hdd-32-emmc-storage-windows-10-home-sw1-011-2-1-laptop/p/itmetzn63mn6rsch?pid=COMETZN6GE973ECQ&srno=b_6_1&otracker=CLP_lhs&lid=LSTCOMETZN6GE973ECQYD54HW&iid=399ba9dc-b8db-40a8-bf39-6190fd17db20.COMETZN6GE973ECQ.SEARCH,SW1-011
15,HP Core m5 6th Gen - (4 GB/128 GB SSD/Windows 10 Home) X2 2 in 1 Laptop,"₹74,855",https://www.flipkart.com/hp-core-m5-6th-gen-4-gb-128-gb-ssd-windows-10-home-x2-2-1-laptop/p/itmepgkwugquzpqj?pid=COMEPGKWSSGCXMVR&srno=b_5_2&otracker=CLP_lhs&lid=LSTCOMEPGKWSSGCXMVRFA4WJJ&iid=d6dd985e-26a7-471d-a04a-874ac6026d10.COMEPGKWSSGCXMVR.SEARCH,X2
16,Lava Helium 14 Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) C141 Notebook,"₹14,999",https://www.flipkart.com/lava-helium-14-atom-quad-core-2-gb-32-gb-emmc-storage-windows-10-home-c141-notebook/p/itmev7yypagznuga?pid=COMEV7YYB9KXH7KZ&srno=b_4_3&otracker=CLP_lhs&lid=LSTCOMEV7YYB9KXH7KZE7KSYO&iid=9798b263-2cd5-4b0b-90af-fa299170813c.COMEV7YYB9KXH7KZ.SEARCH,C141
17,Lenovo 310 Core i5 6th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 310 Notebook,"₹40,990",https://www.flipkart.com/lenovo-310-core-i5-6th-gen-8-gb-1-tb-hdd-dos-2-gb-graphics-ip-notebook/p/itmezzszf9smvwmv?pid=COMEZZSZRDSHHGFA&srno=b_1_5&otracker=CLP_lhs&lid=LSTCOMEZZSZRDSHHGFAAJRX1I&iid=5cd32bda-dced-4be2-ab8d-558ac885129e.COMEZZSZRDSHHGFA.SEARCH,IP 310
18,Asus X Series APU Quad Core E2 - (4 GB/1 TB HDD/DOS) X540YA-XO290D Notebook,"₹19,990",https://www.flipkart.com/asus-x-series-apu-quad-core-e2-4-gb-1-tb-hdd-dos-x540ya-xo290d-notebook/p/itmer3gjf4gwphjz?pid=COMER3GJXBGAFNHH&srno=b_3_4&otracker=CLP_lhs&lid=LSTCOMER3GJXBGAFNHHYMEUQS&iid=af7f98b3-34cc-4412-b5cd-a5fc3f12611c.COMER3GJXBGAFNHH.SEARCH,X540YA-XO290D
19,Dell Inspiron 15 3000 Series Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3567 Notebook,"₹34,990",https://www.flipkart.com/dell-inspiron-15-3000-series-core-i3-6th-gen-4-gb-1-tb-hdd-windows-10-home-3567-notebook/p/itmevzfajq6zm4gq?pid=COMEVZFAAPHHMTQC&srno=b_2_5&otracker=CLP_lhs&lid=LSTCOMEVZFAAPHHMTQC3DVX6K&iid=d49f6495-7775-413c-be0d-c719ce6026e5.COMEVZFAAPHHMTQC.SEARCH,3567
20,Microsoft Surface Pro 4 Core i5 6th Gen - (8 GB/256 GB SSD/Windows 10 Home) 1724 2 in 1 Laptop,"₹90,990",https://www.flipkart.com/microsoft-surface-pro-4-core-i5-6th-gen-8-gb-256-gb-ssd-windows-10-home-1724-2-1-laptop/p/itmehmthrrhzppdk?pid=COMEHMTHE7EBTXB9&srno=b_6_2&otracker=CLP_lhs&lid=LSTCOMEHMTHE7EBTXB9ENEYNK&iid=5c61f591-1507-47ad-bed8-f0b39748423b.COMEHMTHE7EBTXB9.SEARCH,1724
21,Dell Inspiron 7000 Core i7 6th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 7559 No...,"₹118,440",https://www.flipkart.com/dell-inspiron-7000-core-i7-6th-gen-16-gb-1-tb-hdd-128-gb-ssd-windows-10-home-4-graphics-7559-notebook/p/itmemgg8hqn5fynx?pid=COMEMGG8H9ZBEDYB&srno=b_7_1&otracker=CLP_lhs&lid=LSTCOMEMGG8H9ZBEDYBIJFQPP&iid=54f2ce2f-7a67-4b10-9d12-1b132e78e8ec.COMEMGG8H9ZBEDYB.SEARCH,7559
22,HP Core i5 6th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) 15-ay008TX Notebook,"₹42,000",https://www.flipkart.com/hp-core-i5-6th-gen-4-gb-1-tb-hdd-dos-2-gb-graphics-15-ay008tx-notebook/p/itmekyd4wxsqq9de?pid=COMEKYD4APFC8W5Z&srno=b_5_3&otracker=CLP_lhs&lid=LSTCOMEKYD4APFC8W5ZHJJHAM&iid=dab7dcec-3e22-47bd-ba77-7b7cf974fdb9.COMEKYD4APFC8W5Z.SEARCH,15-ay008TX
23,HP Pavilion x360 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 13-u104tu 2 in 1 Laptop,"₹44,990",https://www.flipkart.com/hp-pavilion-x360-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-13-u104tu-2-1-laptop/p/itmempgqrcchpgya?pid=COMEMPGQ2B2HHNHY&srno=b_4_4&otracker=CLP_lhs&lid=LSTCOMEMPGQ2B2HHNHYBW76YH&iid=488db304-0d9e-4757-8623-4b8767b40f0b.COMEMPGQ2B2HHNHY.SEARCH,13-u104tu
24,Acer Core i5 7th Gen - (8 GB/1 TB HDD/Linux) E5 - 575 Notebook,"₹36,990",https://www.flipkart.com/acer-core-i5-7th-gen-8-gb-1-tb-hdd-linux-e5-575-notebook/p/itmepgkfuhhmykgp?pid=COMEPGKFCDZYH23R&srno=b_1_6&otracker=CLP_lhs&lid=LSTCOMEPGKFCDZYH23RASLHFZ&iid=210ed555-9d3a-498c-8711-9589936e5209.COMEPGKFCDZYH23R.SEARCH,E5 - 575
25,Acer Aspire Core i3 6th Gen - (4 GB/128 GB SSD/Windows 10 Home) X349-M Notebook,"₹49,449",https://www.flipkart.com/acer-aspire-core-i3-6th-gen-4-gb-128-gb-ssd-windows-10-home-x349-m-notebook/p/itmessjvrxxcqcgh?pid=COMESSJV3HGVMY2H&srno=b_8_1&otracker=CLP_lhs&lid=LSTCOMESSJV3HGVMY2HKIKRVO&iid=d02ab245-4bb1-4a6b-bb2d-7555a2aa4986.COMESSJV3HGVMY2H.SEARCH,X349-M
