AW-17R4-HID73-ACA8,"['amazon', 1016L]"
GL62M 7RD-265,"['amazon', 346L]"
AW13R3-7000SLV-PUS,"['bestbuy', 210L, 'amazon', 949L]"
MSI-GS73VR-Pro-033-HID4-CA,"['amazon', 967L]"
PRT13C-05500M,"['walmart', 80L, 'walmart', 223L]"
NX.VC7AA.003,"['bestbuy', 1351L]"
NX.VC7AA.004,"['bestbuy', 679L]"
GL62M7RDX218CA,"['staples', 458L]"
CF-54D2900KM,"['amazon', 832L]"
CF-53AAGZX1M,"['amazon', 534L]"
AW17R3-4175SLV,"['amazon', 715L]"
1UG83UA#ABL,"['amazon', 1231L]"
GS63VR 6RF-008CA,"['amazon', 651L]"
SM-W703NZKAXAR,"['amazon', 304L]"
B5W69AW#ABD,"['amazon', 420L]"
GT83VR7RE266CA,"['staples', 520L]"
W7B77UA#ABL,"['amazon', 83L]"
MSI-GS63VR-Pro-002-HID7-CA,"['amazon', 1082L]"
V1P77UT#ABA,"['newEgg', 1304L]"
11-v010nr,"['amazon', 30L]"
GP62M 7RD-256CA,"['bestbuy', 125L, 'bestbuy', 205L, 'amazon', 137L]"
MSI-GS73VR-Pro-033-HID1-CA,"['amazon', 985L]"
GE62VR 7RF-430CA,"['bestbuy', 637L, 'bestbuy', 1115L, 'amazon', 387L]"
T560 (20FH001QUS),"['newEgg', 236L]"
GS73VR 7RF232CA,"['staples', 227L]"
X9E-P870DM3-119,"['bestbuy', 390L]"
T8Z04UTABA,"['bestbuy', 670L]"
GS72 6QE-414CA,"['amazon', 725L]"
AW15R3-7338SLV-PUS,"['bestbuy', 75L, 'amazon', 873L]"
NX.VCYAA.001,"['bestbuy', 989L]"
V1H64UT#ABA,"['newEgg', 484L]"
20GL0000US,"['amazon', 794L]"
TorF5W-16L1-134,"['bestbuy', 671L]"
TorF5W-16L1-135,"['bestbuy', 376L]"
T460 (20FN002JUS),"['newEgg', 72L]"
NX.G14AA.003,"['bestbuy', 456L]"
