ID,Name,Price,Link,Images
24,55-Inch Samsung UN55KS8500 Curved 4K SUHD Smart LED TV (2016),"1,599.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF44A6871,https://images10.newegg.com/ProductImageCompressAll300/A5SF_131081607425744922Gv0sLxmvfz.jpg?ex=2
25,"LG 65"" 4K UHD HDR OLED Smart TV (OLED65B7P)","3,699.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF5UC5304,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/ABH5_131505037433622233lnRm1kqLBY.jpg?ex=2
26,"Samsung HG40ND690DFXZA 40"" Full HD Smart TV Black LED TV","1,029.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA9U16DW0511,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/09Z-01HK-00081-06.jpg?ex=2
27,"Hisense 50"" H6 Series 4K UHD 120 60Hz Smart TV (50H6607)",999.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7524,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_2017062942966117.jpg?ex=2
28,"Sharp 65"" N7000 series 4K UHD Smart TV (LC65N7000U)","2,299.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7544,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629269521590.jpg?ex=2
29,"Hisense Roku 32"" 720p Smart LED TV (32H4C)",349.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7534,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706291580261974.jpg?ex=2
30,VIZIO D50-E1 D-Series 50-Inch 4K UHD Smart LED TV (2017),"1,041.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB65C4411,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/16C-0014-000M0-S01.jpg?ex=2
31,"LG 49LF5900 49"" 1080p 60Hz IPS LED Smart TV (49LF5900)",999.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9U13SA8862,https://images10.newegg.com/ProductImageCompressAll300/A899_130838722533164840KzXn9TxY2l.jpg?ex=2
32,Panasonic TC40D400 40 Inch HD Television with Easey-to-Use Features,499.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC53D3637,https://images10.newegg.com/ProductImageCompressAll300/A7DC_1312386415437980573TPOhFw56k.jpg?ex=2
33,Samsung HG55NE890UFXZA 55Inch Ultra Slim Edge Lit Led,"2,399.99",https://www.newegg.ca/Product/Product.aspx?Item=0WX-0012-00626CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A91N_1_20160901697888023.jpg?ex=2
34,"Sharp 55"" 4K UHD 120 AquoMotion Smart LED TV (LC55N8002U)","1,499.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7545,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629366986162.jpg?ex=2
35,Samsung UN49K6250 Curved 49-Inch 1080P Smart LED TV,"1,399.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIA9U15UX6525,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A9U1_131420180996921221P0U0OhQ7mH.jpg?ex=2
36,"Samsung KU6490 Series 65"" Curved 4K UHD Smart TV - Dark Titan Colour (UN65KU6491)","2,099.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7582,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629524241339.jpg?ex=2
37,"VIZIO M50-D1 50"" 4K 120Hz LED-LCD HDTV, Black",899.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16889262512CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/89-262-512-02.jpg?ex=2
38,"SAMSUNG 32"" UN32J4000CFXZC 720P LED TV 2015 MODEL",281.18,https://www.newegg.ca/Product/Product.aspx?Item=9SIAA4Y6FD3712,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AA4Y_131516912132063661bH8AVv2fPz.jpg?ex=2
39,"Samsung KU6290 Series 70"" 4K UHD Smart TV (UN70KU6290)","2,999.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7547,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_2017062973785963.jpg?ex=2
40,Samsung Electronics UN55MU6500 55-Inch Curved  4K Ultra HD Smart LED TV,999.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF5UC1234,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A5SF_131412468173384354n2yXVdai7q.jpg?ex=2
41,"Sharp 60"" N5100 Series 1080p Full HD Smart TV (LC60N5100U)","1,499.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7555,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629406763904.jpg?ex=2
42,"Samsung UN48H4005 48"" Class 720p 60Hz LED HDTV",589.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8993966845,https://images10.newegg.com/ProductImageCompressAll300/A899_130979494643408665cO6IG9Q5RC.jpg?ex=2
43,"Samsung 60"" 4K Ultra HD LED Tizen Smart TV (UN60KU6290)","1,899.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA9U156B0585,https://images10.newegg.com/ProductImageCompressAll300/A9U1_131268333586724780nRMEBR6RBY.jpg?ex=2
44,"Sharp 65"" 4K UHD 120 AquoMotion Smart LED TV (LC65N8002U)","2,099.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7530,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629494522133.jpg?ex=2
45,LG Electronics 55UF6800 55-Inch 4K Ultra HD Smart LED TV (2015 Model),"1,599.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA8993FK5755,https://images10.newegg.com/ProductImageCompressAll300/A5SR_130855252715103453k0uRIM9v8w.jpg?ex=2
46,"Samsung MU9000 65"" 4K UHD with Wi-Fi Smart TV (UN65MU9000)","3,597.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7531,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706291619334645.jpg?ex=2
47,Panasonic TC32C400 32 inch Television with Easy-to-Use Features,299.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC5318990,https://images10.newegg.com/ProductImageCompressAll300/A7DC_131238639425660332nzgdvggMtK.jpg?ex=2
48,PC WHOLESALE 55KU6290 4K SMART TV,"1,700.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIA9U15528716,https://images10.newegg.com/ProductImageCompressAll300/A9U1_131263908994153263yDiDUdmqaF.jpg?ex=2
49,"Sharp 50"" 4K UHD 120 AquoMotion Smart LED TV (LC50N8002U)","1,199.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7527,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629508117180.jpg?ex=2
50,LG 50LF5800 50-in. Smart 1080p LED TV,899.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA89937V1810,https://images10.newegg.com/ProductImageCompressAll300/A899_130838725078025766jD2WQQDHBY.jpg?ex=2
51,"Proscan 55"" 1080p 120Hz LED HDTV PLED5529A",699.98,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7703,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629460554887.jpg?ex=2
52,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV UN75MU6300FXZC","2,799.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF5UC2625,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A5SF_1314125074998170450tHcttiFkT.jpg?ex=2
53,"Samsung KS9500 Series 65"" Curved Supreme Motion Rate 240 4K SUHD Smart LED TV","2,559.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF5YN4540,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_2017062913092704.jpg?ex=2
54,SHARP PNLE901 W/3YR LTD COM WARR,"9,226.99",https://www.newegg.ca/Product/Product.aspx?Item=16C-000W-000E2CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/16C-000W-000E2-S02.jpg?ex=2
55,"Sharp 55"" 4K UHD 120 AquoMotion Smart LED TV (LC55N7002U)","1,199.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7493,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706291059543114.jpg?ex=2
56,Samsung HG32NE478BFXZA 32In Slim Direct Lit Led Blan Pro Idiom,479.99,https://www.newegg.ca/Product/Product.aspx?Item=1YF-007D-00001CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A91N_1_201606291226066966.jpg?ex=2
57,"Proscan 32"" 720p 60Hz LED HD TV + Roku Stick Included! (PLDED3231A)",299.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7521,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629175166142.jpg?ex=2
