ID,Name,ModelNumber,Price,Link,Images
148,Canon EOS Rebel T5i 8595B005 Black 18.0 MP Digital SLR Camera with EF-S 18-135mm IS STM Lens,EOS Rebel T5i,"1,683.20",https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5EV6779,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-678-05.jpg?ex=2
149,Canon EOS Rebel T6s 0020C003 Black 24.20 MP Digital SLR Camera with EF-S 18-135mm IS STM Lens,EOS Rebel T6s,"1,955.92",https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5CS1379,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-797-08.jpg?ex=2
150,Canon EOS 80D 1263C006 Black Digital SLR Camera with 18-135mm IS USM Lens KIT,EOS 80D,"1,999.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M4FZ6495,https://images10.newegg.com/ProductImageCompressAll300/30-120-854-02.jpg?ex=2
151,Canon EOS 5DS 0581C002 Black 50.60 MP Digital SLR Camera Body,EOS 5DS,"4,399.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3A47988,https://images10.newegg.com/ProductImageCompressAll300/30-120-791-13.jpg?ex=2
152,Canon EOS 5DS R 0582C002 Black 50.60 MP Digital SLR Camera Body,EOS 5DS R,"4,699.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3A47990,https://images10.newegg.com/ProductImageCompressAll300/30-120-792-09.jpg?ex=2
153,Canon Rebel SL1 8575B003 Black 18.0 MP Digital SLR Camera with 18-55mm IS STM Lens,Rebel SL1,499.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC3KG6753,https://images10.newegg.com/ProductImageCompressAll300/30-120-679-06.jpg?ex=2
154,Sony Cyber-shot DSCRX100M5 DSC-RX100 V Digital Camera,RX100 V,"1,239.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C357T5666,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-179-826-03.jpg?ex=2
155,"Canon PowerShot SX530 HS Black 16 MP 50X Optical Zoom 24mm Wide Angle High-End, Advanced Digital Camera HDTV Output",PowerShot SX530 HS,538.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16830120777CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-777-08.jpg?ex=2
156,Canon PowerShot SX420 IS Digital Camera - Red,PowerShot SX420 IS,446.97,https://www.newegg.ca/Product/Product.aspx?Item=9SIA66K5V22144,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-837-Z01.jpg?ex=2
157,Canon EOS Rebel T6i 0591C001 Black 24.20 MP Digital SLR Camera Body,EOS Rebel T6i,799.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M31Y6787,https://images10.newegg.com/ProductImageCompressAll300/30-120-793-09.jpg?ex=2
158,Bell & Howell DC5 Fun Flix 5.0MP Kids Digital Camera,DC5 Fun Flix,83.12,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5HY2217,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A1XA_1_20140625552314309.jpg?ex=2
159,"Canon EOS M3 9772B011 White 24.2 MP Horizontal: 6.2cm, Vertical: 4.2cm LCD Mirrorless Digital Camera with 18-55mm Lens",EOS M3,999.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3E95653,https://images10.newegg.com/ProductImageCompressAll300/30-120-827-01.jpg?ex=2
160,Canon PowerShot SX720 HS Digital Camera,SX720 HS,677.65,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5314185,https://images10.newegg.com/ProductImageCompressAll300/30-120-851-01.jpg?ex=2
161,Canon EOS M3 9694B011 Black Mirrorless Digital Camera with 18-55mm Lens,EOS M3,"1,159.07",https://www.newegg.ca/Product/Product.aspx?Item=9SIA66K5TE7628,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-825-01.jpg?ex=2
162,COLEMAN C9WP-BK 20.0-Megapixel Xtreme3 HD Video Waterproof Digital Camera (Black),C9WP-BK,158.96,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48U1026,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336542111.jpg?ex=2
163,Nikon D810 1542 Black 36.3 MP Digital SLR Camera - Body Only,D810,"3,999.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M4TA5804,https://images10.newegg.com/ProductImageCompressAll300/30-113-668-09.jpg?ex=2
164,Canon PowerShot ELPH 190 IS Digital Camera - Red,PowerShot ELPH 190 IS,179.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC46N4816,https://images10.newegg.com/ProductImageCompressAll300/30-120-842-Z01.jpg?ex=2
165,Canon EOS 5D Mark III 22.3MP Full Frame CMOS Digital SLR Camera with EF 24-105mm f/4 L IS USM Lens,EOS 5D Mark III,"6,099.95",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C352B4626,https://images10.newegg.com/ProductImageCompressAll300/30-120-616-05.jpg?ex=2
166,Nikon D5300 1522 Black 24.2 MP Digital SLR Camera with 18-55mm Lens,D5300,799.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M31Z9007,https://images10.newegg.com/ProductImageCompressAll300/30-113-632-06.jpg?ex=2
167,Canon 1483C018 EOS 5D Mark IV DSLR Camera with 24-70mm f/4L Lens,5D Mark IV EF 24-70mm f/4L IS USM Kit,"5,849.95",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C352B4608,https://images10.newegg.com/ProductImageCompressAll300/30-120-873-Z01.jpg?ex=2
168,Nikon D750 1543 Black 24.3 MP Digital SLR Camera - Body,D750,"2,299.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3204900,https://images10.newegg.com/ProductImageCompressAll300/30-113-672-06.jpg?ex=2
169,Canon PowerShot ELPH 360 HS Digital Camera - Silver,PowerShot ELPH 360 HS,229.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC52T0376,https://images10.newegg.com/ProductImageCompressAll300/30-120-839-01.jpg?ex=2
170,Canon Rebel SL1 8575B001 Black 18.0 MP Digital SLR Camera - Body Only,Rebel SL1,955.05,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R54J3325,https://images10.newegg.com/ProductImageCompressAll300/30-120-680-03.jpg?ex=2
171,Canon EOS Rebel T6s 0020C001 Black 24.20 MP Digital SLR Camera Body,EOS Rebel T6s,899.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M31Y7640,https://images10.newegg.com/ProductImageCompressAll300/30-120-796-09.jpg?ex=2
172,Nikon D7200 1555 Black 24.2 MP Digital SLR Camera with 18-140mm VR Lens,D7200,"1,799.95",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M4FZ6539,https://images10.newegg.com/ProductImageCompressAll300/30-113-696-05.jpg?ex=2
173,Nikon D750 1549 Black 24.3 MP Digital SLR Camera with 24-120mm VR Lens,D750,"2,999.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3205036,https://images10.newegg.com/ProductImageCompressAll300/30-113-673-12.jpg?ex=2
174,Canon EOS Rebel T7i Digital SLR Camera with EF-S 18-55mm IS STM Lens,none,"1,149.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345UY0070,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AC4Z_1_201703161874530794.jpg?ex=2
175,Canon G9 X Black 20.2 MP 3X Optical Zoom 25mm Wide Angle Digital Camera,G9 X,895.29,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5EV6669,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-828-01.jpg?ex=2
176,SONY RX100 IV Black 20.1 MP 2.9X Optical Zoom Digital Camera HDTV Output,RX100 IV,"1,149.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C358K8153,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-179-799-06.jpg?ex=2
177,DJI Osmo+ Handheld Gimbal with 4K Zoom Camera,none,854.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB5UY0211,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4P0_1_201611111701805974.jpg?ex=2
178,Canon PowerShot SX620 HS Digital Camera (Red),SX620 HS,369.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB5WH4344,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A1T5_1_201607022107443422.jpg?ex=2
179,Canon PowerShot SX620 HS Digital Camera (Silver),SX620 HS,309.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC4UG2155,https://images10.newegg.com/ProductImageCompressAll300/A1T5_1_201607022074156717.jpg?ex=2
180,Olympus Tough TG-5 12 Megapixel Compact Camera - Red,TG-5,592.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB5XP8374,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A29P_1_20170609905861026.jpg?ex=2
181,Panasonic Lumix DMC-FZ2500 Digital,none,"1,594.95",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C35BW3581,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/ABMT_131266498831256013pfVzyl0QUD.jpg?ex=2
182,Canon PowerShot G1 X Mark II Black 12.8 MP 5X Optical Zoom 24mm Wide Angle Digital Camera,PowerShot G1 X Mark II,"1,292.09",https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5EV6776,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-742-10.jpg?ex=2
183,Canon G9 X Silver 20.2 MP 3X Optical Zoom 25mm Wide Angle Digital Camera,G9 X,599.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C350R3307,https://images10.newegg.com/ProductImageCompressAll300/30-120-829-Z01.jpg?ex=2
184,Canon PowerShot ELPH 180 Digital Camera - Silver,PowerShot ELPH 180,149.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC4UB2900,https://images10.newegg.com/ProductImageCompressAll300/30-120-844-01.jpg?ex=2
185,Coleman C20wp-Bl 18.0-Megapixel C20wp Xtreme Hd Waterproof Digital Camera (blue)  7.00in. x 6.30in. x 2.60in.,none,126.87,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5DZ5748,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A63G_1_201704041489029810.jpg?ex=2
186,Canon EOS Rebel T6i 0591C005 Black Digital SLR Camera with EF-S 18-135mm f/3.5-5.6 IS STM Lens,S Rebel T6i,"1,615.11",https://www.newegg.ca/Product/Product.aspx?Item=9SIA66K5TE7684,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-120-795-09.jpg?ex=2
187,Canon PowerShot ELPH 360 HS Digital Camera - Black,360 HS,229.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC46N4847,https://images10.newegg.com/ProductImageCompressAll300/A4P0_1_20160311653187563.jpg?ex=2
188,Canon PowerShot G5 X Black 20.2 MP 4.2X Optical Zoom 25mm Wide Angle Digital Camera,PowerShot G5 X,949.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3H43997,https://images10.newegg.com/ProductImageCompressAll300/30-120-833-01.jpg?ex=2
189,Nikon D7100 1513 Black 24.1 MP Digital SLR Camera - Body,D7100,949.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3204875,https://images10.newegg.com/ProductImageCompressAll300/30-113-511-02.jpg?ex=2
190,Canon EOS Rebel T6 18.0 MP DSLR Camera with EF-S 18-55mm DC III Lens (EOSREBELT6KITDC),none,643.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB5V53644,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_131420346979005067LsVQFN26zX.jpg?ex=2
191,FUJIFILM 7025227 Green Waterproof Shockproof QuickSnap 35mm Disposable Camera,7025227,28.96,https://www.newegg.ca/Product/Product.aspx?Item=9SIA66K3141717,https://images10.newegg.com/ProductImageCompressAll300/30-122-297-S01.jpg?ex=2
192,Coleman C20wp-Bk 18.0-Megapixel C20wp Xtreme Hd Waterproof Digital Camera (black)  7.00in. x 6.30in. x 2.60in.,none,126.87,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5EB8160,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A63G_1_20170404300782779.jpg?ex=2
193,CANON VIXIA HF R800 BLK CAMCORDER,1960C002,514.81,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5RD4414,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A0ZX_1_201704241750047313.jpg?ex=2
194,RAND MCNALLY DASH300 DASHCAM 300 WITH SUPER HD,none,291.54,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5VF6017,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4M5_1_20170618689139061.jpg?ex=2
195,"Panasonic Lumix DMC-ZS100 Digital Camera, 20.1MP, Silver #DMC-ZS100S",none,889.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C35AS7182,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4P0_1_20160401660260203.jpg?ex=2
196,Powershot SX730 HS (Black),none,712.65,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5UC1347,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A29P_1_201706061927763628.jpg?ex=2
197,Coleman 2v8wp-O 18.0-Megapixel Duo 2v8wp Dual-Screen Waterproof Hd Digital Camera (orange)  7.20in. x 6.30in. x 2.70in.,none,141.46,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5E97177,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/01G-015W-00020-S01.jpg?ex=2
198,COLEMAN 2V9WP-P 20.0 Megapixel Duo2 Dual-Screen Waterproof Digital Camera (Purple),none,156.04,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48V4053,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336541798.jpg?ex=2
